number,locations,location_id,services,service_id,organizations,organization_id,contacts,contact_id,extension,type,language,description,id,schedule,schedule_id
(360) 312-2420,,,,,,,,,,,,,recgMbX6u4hbdzJp0,,
1-800-860-6812 or TTY (360) 676-6749,,,,,,,,,,,,,rechqvEXG2FCyim78,,
(360) 676-6724 ext. 32243,,,,,,,,,,,,,reciaYZBfGmYhgeKG,,
(360) 676-2187,,,,,,,,,,,,,recJnjbVXkeOD8S6Y,,
(360) 738-2459,,,,,,,,,,,,,recMIimgUSFblqqU1,,
(360) 540-5288,,,,,,,,,,,,,recMwRNTFOL9frYOE,,
(360) 778-8300,,,,,,,,,,,,,recNhGzr0xOA0P1bk,,
1-888-225-5773,,,,,,,,,,,,,recRECB2BKQxK0Xfn,,
(360) 380-6636,,,,,,,,,,,,,recREWkQ63nLyHobM,,
(360) 650-3240,,,,,,,,,,,,,recRMCA1dHFnFirpv,,
(360) 734-9862;  24 hr. crisis hotline: 360-393-0116,,,,,,,,,,,,,recTeul54upMMiizK,,
(360) 398-1761,,,,,,,,,,,,,recUT2ynXgckvS8jM,,
(360) 676- 6749,,,,,,,,,,,,,recV3sgoHYf5W8pTf,,
(360) 383-3135,,,,,,,,,,,,,recWBRlaYJivoeDZj,,
(360) 383-3180,,,,,,,,,,,,,recXQ61NndGJUALyA,,
(360) 383-3846,,,,,,,,,,,,,recXlME2geutJKyvn,,
(360) 733-3796,,,,,,,,,,,,,recZs0w75NgEG8mfg,,
(360) 676-1848  fax (360) 671-1636,,,,,,,,,,,,,recZyFnuVBcL0O20C,,
(360) 752-8450,,,,,,,,,,,,,rec32Ihd3Dngd2j18,,
(360) 733-5120 ext. 0,,,,,,,,,,,,,rec4LlkjUUcHFSOgn,,
(360) 650-3881,,,,,,,,,,,,,rec4BYQahwhhjq4nW,,
(360) 671-5714,,,,,,,,,,,,,rec7Z7zpI11uycPuS,,
(360) 383-3060,,,,,,,,,,,,,rec7i3Pg4CyZrzArD,,
(206) 764-2564,,,,,,,,,,,,,rec8C9qCA8DyimGkU,,
(360)778- 6051,,,,,,,,,,,,,recjScn8snxB8034e,,
(360) 393-5514,,,,,,,,,,,,,reckczel9gI8G5ogj,,
(360) 734-2330,,,,,,,,,,,,,reckmzKATv2A2U0ol,,
(360) 733-3970,,,,,,,,,,,,,reclzgAJmMTEXHFVG,,
(360) 778-5900,,,,,,,,,,,,,recp2QId4TPeMH6LC,,
1-888-522-1130,,,,,,,,,,,,,recpRGZ460t8Rqa8t,,
(360) 650-3184,,,,,,,,,,,,,recvgWGixrJT9z9dz,,
1-800-747-8654 (Veterans of America),,,,,,,,,,,,,recyz8ALgsi68qrKJ,,
(360) 738-4554,,,,,,,,,,,,,recE5vRVtwFnQ28u3,,
(360) 734-5121 ext. 172,,,,,,,,,,,,,recEjFqOytDxYIjwg,,
(360) 778-6047,,,,,,,,,,,,,recHp6sbW7q8Ed1RF,,
(360) 752-8349,,,,,,,,,,,,,recI7Af8MF1GQPkqS,,
1-800-606-4819,,,,,,,,,,,,,recIWcOsheJaX8wfA,,
(360) 778-7290,Bellingham Public Library Barkley Branch,recfQJFd1jOYzGZ7M,,,,,,,,,,,recLtTl3ukKQk4XOY,,
(360) 778-7188,Bellingham Public Library Fairhaven Branch,recNKoWIhIX6tkaz3,,,,,,,,,,,recDazyWq1krXQtVf,,
(360) 305-3637,Blaine Library,reccnrX6G9gzJaqJg,,,,,,,,,,,recyoXJIDAmh3qkj6,,
(360) 676-5085,Carl Cozier Elementary School,recLXnLjGb04w060W,,,,,,,,,,,receeLWrlle2v3HRC,,
(360) 592-2422,Deming Library,recKOhsOL9EJLPsgt,,,,,,,,,,,recK26o31T5puDsd0,,
(360) 812-4940,DSHS Home and Community Services Office,recNIwXXXKCspwafW,,,,,,,,,,,recWvZd0E3X02tY0V,,
(360) 966-5100,Everson Library,recaCa2dWt6HIhApJ,,,,,,,,,,,recaY7yJ7dslrquDO,,
(360) 384-3647,Ferndale Library,rec83sWvihhL1npE4,,,,,,,,,,,recjLr5CRyHSqPQ8r,,
(360) 758-7145,Island Library,recJhMsDNQxFoNtNM,,,,,,,,,,,recIkzBWpLAolibKt,,
(360) 354-4883,Lynden Library,rececZBNbdde9S8un,,,,,,,,,,,rectgz5jD2CPu4VJO,,
(360) 599-2020,North Fork Library,recNkSEnqS3v8aYzK,,,,,,,,,,,reckKwTfSMUsK98Qw,,
(360) 788-8388,PeaceHealth Same-Day Care at Fairhaven Plaza Clinic,recucNtaaaEgx3nzE,,,,,,,,,,,recwqNfBNqJP6p12o,,
(360) 945-6545,Point Roberts Library,receEKvGVc30wwl9c,,,,,,,,,,,recAVTdi7IwFKk5xI,,
(360) 305-3632,South Whatcom Library,recliChaaabzFCPlJ,,,,,,,,,,,recg1ooBkSu0xEu6E,,
(360) 988-2501,Sumas Library,recTOOu5QbeWSiOGx,,,,,,,,,,,recc5PEBXrLDvqoCf,,
(360) 752-7406,Unity Care NW Bellingham Pharmacy,recuWuETnxqL71xrY,,,,,,,,,,,recLKgsj1EdEci2Gj,,
(360) 778-6102,Whatcom County Health Department - State Street,recYvoWMV4zK72ick,,,,,,,,,,Family and Child Services Phone,rec9HowCirXY5NxsK,,
