id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status,x_option_status,x_staff_notes,x_edit_notes,x_last_complete_update_at
159,Acme Elementary School,,,,https://www.mtbaker.wednet.edu/o/acme,,,,,Active,"Kaleidoscope Play & Learn is an organized playgroup open to all children ages 0-5 with their parents, grandparents, aunts and uncles and other family and friends who take care of them. Group follows the school district calendar.",,2022/01/24
208,Kids in Motion Therapy Clinic,,,,,,,,,Active,"- *Accepts Medicaid and offers therapy home visits* - as of now, all appointments are in the home!Kids in Motion Therapy Clinic will provide physical, occupational and speech therapy for the children of Whatcom County and surrounding areas who have neuromuscular disorders.- *Physical Therapy:* service assists children in developing strength, range of motion and to reach milestones such as sitting, standing, crawling, walking, and grasping objects.- *Occupational Therapy:* service assists children in mastering skills necessary for successful daily living, such as eating, bathing, dressing and writing.- *Speech Therapy:* service assists children in developing successful communication skills by addressing such skills as phonation, intonation, speech mechanics, syntax, grammar, semantics, meaning and pragmatics.",,2020/04/30
212,Max Higbee Center,,,admin@maxhigbeecenter.org,,,,,,Active,"We offer FIVE permanent programs:-    Our Weekend Drop-In Program operates on Friday and Saturday evenings from 5:00-9:30.-   The Community Access Program (CAP) operates Monday through Friday in the afternoon from 2:30-5:30.-   SPIN Dances occur on the 3rd Monday of every month, except July from 6:00-8:00pm.-   365 Fitness Program operates on Tuesday and Thursdays from 10:00-2:30.-   Our new DayTime Drop-in Center operates on Monday, Wednesday and Fridays from 10:00-2:30",,2020/05/08
226,Blaine Food Bank,,"This food bank serves residents of Blaine, Custer, Birch Bay & Semihamoo.",,https://www.blainefoodbank.org/,,,,,Active,"- Once per week for Blaine, Birch Bay, Semihamoo & Custer residents.- Must show proof of residence and bring in a picture ID",,2022/01/27
271,FACES Northwest,,,info@facesnorthwest.com,,,,,,Active,"- We conduct an eight-week therapeutic recreational day camp in July and August for children and young adults with autism from ages 5 through young adults. Our campers are exposed to community involvement, independent living skills, academic enrichment and positive social relationships using evidence-based strategies.We work in partnership with school districts to offer an Extended School Year (ESY) program, targeting the specific needs of autistic children and young adults according to their Individual Educational Plan (IEP). Each camper is teamed with a one-on-one instructional assistant in order to maximize their potential for success.",,2020/04/22
276,Squalicum High School,,,,,,,,,Active,"GRADS is a program for pregnant and parenting students that provides the academic and childcare support necessary to remain in or return to high school and graduate. GRADS is available at no cost to pregnant teens and young parents under the age of twenty-one who live in Bellingham or Whatcom County and have not graduated from high school. The program is located at Sehome, Squalicum and Options High Schools. Students attend regular high school courses as well as receive instruction in units of study related to: pregnancy, parenting, positive self-image and economic independence.Please contact your counselor or registrar for more information.https://bellingham.bellinghamschools.org/wp-content/uploads/sites/25/2020/02/2020HighSchoolCourseCatalog.pdf",,2020/07/29
365,Sehome High School,,,,,,,,,Active,"GRADS is a program for pregnant and parenting students that provides the academic and childcare support necessary to remain in or return to high school and graduate.-GRADS is available at no cost to pregnant teens and young parents under the age of twenty-one who live in Bellingham or Whatcom County and have not graduated from high school. The program is located at Sehome, Squalicum and Options High Schools. Students attend regular high school courses as well as receive instruction in units of study related to: pregnancy, parenting, positive self-image and economic independence.Please contact your counselor or registrar for more information.https://bellingham.bellinghamschools.org/wp-content/uploads/sites/25/2020/02/2020HighSchoolCourseCatalog.pdf",,2020/07/29
374,Nooksack Valley School,,,briana.mcinnis@nv.k12.wa.us,,,,,,Active,,,2020/05/11
429,Whatcom County Health Department,,,,https://www.whatcomcounty.us/360/Health-Department,,,,,Active,"*Please CREATE A FOLLOW-UP activity (assigned to Libby) for any home visiting referrals added to the cart.**Programs:*- *Nurse-Family Partnership:* is a free, voluntary program that provides pregnancy help, support, and guidance from nurses who make home visits to first-time moms. The program continues until the baby's second birthday. To receive pregnancy help from the Nurse-Family Partnership program, you must:-  Be pregnant with your first child-  Meet income requirements *(200% FPL or under)*-  Live within an area serviced by a Nurse-Family Partnership Implementing Agency-  We ask that you contact us as early in your pregnancy as possible--typically before week 28 of your pregnancy -- so that we can answer your questions, help you prepare for childbirth, and support you as you go through the challenge of becoming a parent for the first time.-  *Community Health Home* (public health nurses, nurse practitioners, registered dietitians, social workers, case managers, outreach workers, and health care assistants.)-  *CSHCN* Program staff work with families of children with special heatlh care needs, providing services that include special needs assessments, resource information and referral, family support, and assistance with care coordination.   -  Participate in community-building activities, including the Whatcom Taking Action for Children & Youth with Special Health Care Needs   -  Work with community partners to promote a Medical HomeYou are about to leave the Whatcom County Site - click globe for disclaimer model of health care services that are accessible, family-centered, continuous, comprehensive, coordinated, compassionate, and culturally-competent",,2022/01/31
432,Blaine School District - Play & Learn Group,,Birch Bay Bible Community Church,,,,,,,Active,,,2019/02/20
