id,service_id,service_area,description
1,776,"[{""scope"":""state"",""state"":""WA""}]",
2,849,"[{""scope"":""state"",""state"":""WA""}]",
3,857,"[{""scope"":""state"",""state"":""WA""}]",
4,883,"[{""scope"":""state"",""state"":""WA""}]",
5,972,"[{""scope"":""state"",""state"":""WA""}]",
6,979,"[{""scope"":""state"",""state"":""WA""}]",
7,1108,"[{""scope"":""state"",""state"":""WA""}]",
8,1118,"[{""scope"":""state"",""state"":""WA""}]",
9,1218,"[{""scope"":""state"",""state"":""WA""}]",
10,1219,"[{""scope"":""state"",""state"":""WA""}]",
11,1220,"[{""scope"":""state"",""state"":""WA""}]",
12,1224,"[{""scope"":""state"",""state"":""WA""}]",
13,1291,"[{""scope"":""state"",""state"":""WA""}]",
14,1292,"[{""scope"":""state"",""state"":""WA""}]",
15,1293,"[{""scope"":""state"",""state"":""WA""}]",
16,1317,"[{""scope"":""state"",""state"":""WA""}]",
17,1394,"[{""scope"":""state"",""state"":""WA""}]",
18,1424,"[{""scope"":""state"",""state"":""WA""}]",
19,1426,"[{""scope"":""state"",""state"":""WA""}]",
20,1444,"[{""scope"":""state"",""state"":""WA""}]",
21,1669,"[{""scope"":""state"",""state"":""WA""}]",
22,1747,"[{""scope"":""state"",""state"":""WA""}]",
23,1763,"[{""scope"":""state"",""state"":""WA""}]",
24,1770,"[{""scope"":""state"",""state"":""WA""}]",
25,1831,"[{""scope"":""state"",""state"":""WA""}]",
26,1832,"[{""scope"":""state"",""state"":""WA""}]",
27,1833,"[{""scope"":""state"",""state"":""WA""}]",
28,1913,"[{""scope"":""state"",""state"":""WA""}]",
29,1941,"[{""scope"":""state"",""state"":""WA""}]",
30,2196,"[{""scope"":""state"",""state"":""WA""}]",
31,2197,"[{""scope"":""state"",""state"":""WA""}]",
32,2285,"[{""scope"":""state"",""state"":""WA""}]",
33,2453,"[{""scope"":""state"",""state"":""WA""}]",
34,2454,"[{""scope"":""state"",""state"":""WA""}]",
35,2455,"[{""scope"":""state"",""state"":""WA""}]",
36,2485,"[{""scope"":""state"",""state"":""WA""}]",
37,2650,"[{""scope"":""state"",""state"":""WA""}]",
38,2709,"[{""scope"":""state"",""state"":""WA""}]",
39,2710,"[{""scope"":""state"",""state"":""WA""}]",
40,2713,"[{""scope"":""state"",""state"":""WA""}]",
41,2801,"[{""scope"":""state"",""state"":""WA""}]",
42,2802,"[{""scope"":""state"",""state"":""WA""}]",
43,2811,"[{""scope"":""state"",""state"":""WA""}]",
44,2924,"[{""scope"":""state"",""state"":""WA""}]",
45,3134,"[{""scope"":""state"",""state"":""WA""}]",
46,3135,"[{""scope"":""state"",""state"":""WA""}]",
47,3136,"[{""scope"":""state"",""state"":""WA""}]",
48,3137,"[{""scope"":""state"",""state"":""WA""}]",
49,3138,"[{""scope"":""state"",""state"":""WA""}]",
50,3139,"[{""scope"":""state"",""state"":""WA""}]",
51,3140,"[{""scope"":""state"",""state"":""WA""}]",
52,3147,"[{""scope"":""state"",""state"":""WA""}]",
53,3169,"[{""scope"":""state"",""state"":""WA""}]",
54,3188,"[{""scope"":""state"",""state"":""WA""}]",
55,3189,"[{""scope"":""state"",""state"":""WA""}]",
56,3190,"[{""scope"":""state"",""state"":""WA""}]",
57,3191,"[{""scope"":""state"",""state"":""WA""}]",
58,3192,"[{""scope"":""state"",""state"":""WA""}]",
59,3200,"[{""scope"":""state"",""state"":""WA""}]",
60,3248,"[{""scope"":""state"",""state"":""WA""}]",
61,3431,"[{""scope"":""state"",""state"":""WA""}]",
62,3432,"[{""scope"":""state"",""state"":""WA""}]",
63,3433,"[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]",
64,3434,"[{""scope"":""state"",""state"":""WA""}]",
65,3435,"[{""scope"":""zip"",""zip"":""98225""}]",
66,3485,"[{""scope"":""state"",""state"":""WA""}]",
67,3728,"[{""scope"":""state"",""state"":""WA""}]",
68,3738,"[{""scope"":""state"",""state"":""WA""}]",
69,15754,"[{""scope"":""state"",""state"":""WA""}]",
70,3834,"[{""scope"":""state"",""state"":""WA""}]",
71,3835,"[{""scope"":""state"",""state"":""WA""}]",
72,3836,"[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""},{""scope"":""state"",""state"":""WA""}]",
73,3871,"[{""scope"":""state"",""state"":""WA""}]",
74,3892,"[{""scope"":""state"",""state"":""WA""}]",
75,3893,"[{""scope"":""state"",""state"":""WA""}]",
76,3894,"[{""scope"":""state"",""state"":""WA""}]",
77,3895,"[{""scope"":""state"",""state"":""WA""}]",
78,3896,"[{""scope"":""state"",""state"":""WA""}]",
79,3897,"[{""scope"":""state"",""state"":""WA""}]",
80,3900,"[{""scope"":""state"",""state"":""WA""}]",
81,3901,"[{""scope"":""state"",""state"":""WA""}]",
82,4088,"[{""scope"":""state"",""state"":""WA""}]",
83,4089,"[{""scope"":""state"",""state"":""WA""}]",
84,4110,"[{""scope"":""state"",""state"":""WA""}]",
85,4111,"[{""scope"":""state"",""state"":""WA""}]",
86,4112,"[{""scope"":""state"",""state"":""WA""}]",
87,4113,"[{""scope"":""state"",""state"":""WA""}]",
88,4114,"[{""scope"":""state"",""state"":""WA""}]",
89,4115,"[{""scope"":""state"",""state"":""WA""}]",
90,4116,"[{""scope"":""state"",""state"":""WA""}]",
91,4117,"[{""scope"":""state"",""state"":""WA""}]",
92,4118,"[{""scope"":""state"",""state"":""WA""}]",
93,4119,"[{""scope"":""state"",""state"":""WA""}]",
94,4120,"[{""scope"":""state"",""state"":""WA""}]",
95,4121,"[{""scope"":""state"",""state"":""WA""}]",
96,4123,"[{""scope"":""state"",""state"":""WA""}]",
97,4188,"[{""scope"":""state"",""state"":""WA""}]",
98,4189,"[{""scope"":""state"",""state"":""WA""}]",
99,4458,"[{""scope"":""state"",""state"":""WA""}]",
100,4490,"[{""scope"":""state"",""state"":""WA""}]",
101,4491,"[{""scope"":""state"",""state"":""WA""}]",
102,4879,"[{""scope"":""state"",""state"":""WA""}]",
103,4880,"[{""scope"":""state"",""state"":""WA""}]",
104,5144,"[{""scope"":""state"",""state"":""WA""}]",
105,5145,"[{""scope"":""state"",""state"":""WA""}]",
106,5146,"[{""scope"":""state"",""state"":""WA""}]",
107,5147,"[{""scope"":""state"",""state"":""WA""}]",
108,5148,"[{""scope"":""state"",""state"":""WA""}]",
109,5416,"[{""scope"":""state"",""state"":""WA""}]",
110,5530,"[{""scope"":""state"",""state"":""WA""}]",
111,5919,"[{""scope"":""state"",""state"":""WA""}]",
112,5920,"[{""scope"":""state"",""state"":""WA""}]",
113,6201,"[{""scope"":""state"",""state"":""WA""}]",
114,6202,"[{""scope"":""state"",""state"":""WA""}]",
115,6203,"[{""scope"":""state"",""state"":""WA""}]",
116,6204,"[{""scope"":""state"",""state"":""WA""}]",
117,6205,"[{""scope"":""state"",""state"":""WA""}]",
118,6206,"[{""scope"":""state"",""state"":""WA""}]",
119,6207,"[{""scope"":""state"",""state"":""WA""}]",
120,6208,"[{""scope"":""state"",""state"":""WA""}]",
121,6209,"[{""scope"":""state"",""state"":""WA""}]",
122,6210,"[{""scope"":""state"",""state"":""WA""}]",
123,6211,"[{""scope"":""state"",""state"":""WA""}]",
124,6212,"[{""scope"":""state"",""state"":""WA""}]",
125,6213,"[{""scope"":""state"",""state"":""WA""}]",
126,6214,"[{""scope"":""state"",""state"":""WA""}]",
127,6215,"[{""scope"":""state"",""state"":""WA""}]",
128,6216,"[{""scope"":""state"",""state"":""WA""}]",
129,6217,"[{""scope"":""state"",""state"":""WA""}]",
130,6218,"[{""scope"":""state"",""state"":""WA""}]",
131,6368,"[{""scope"":""state"",""state"":""WA""}]",
132,6383,"[{""scope"":""state"",""state"":""WA""}]",
133,15756,"[{""scope"":""state"",""state"":""WA""}]",
134,6388,"[{""scope"":""state"",""state"":""WA""}]",
135,6389,"[{""scope"":""state"",""state"":""WA""}]",
136,6459,"[{""scope"":""state"",""state"":""WA""}]",
137,6460,"[{""scope"":""state"",""state"":""WA""}]",
138,6466,"[{""scope"":""state"",""state"":""WA""}]",
139,6492,"[{""scope"":""state"",""state"":""WA""}]",
