id,term,description,parent_id,taxonomy,language,x_parent
1,PS-1500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PS-1500,en,PS
2,RP-5000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=RP-5000,en,RP
3,LF-4900,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LF-4900,en,LF
4,BD-1800.2000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BD-1800.2000,en,BD-1800
5,HH-7920,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=HH-7920,en,HH
6,LT-3400,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LT-3400,en,LT
7,LJ-5000.1500-180,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-5000.1500-180,en,LJ-5000.1500
8,BM-6500.1500-100,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BM-6500.1500-100,en,BM-6500.1500
9,BM-6500.1550,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BM-6500.1550,en,BM-6500
10,BD-1875.2000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BD-1875.2000,en,BD-1875
11,LV-1600,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LV-1600,en,LV
12,PN-8100.3000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PN-8100.3000,en,PN-8100
13,PH-6100.3300,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PH-6100.3300,en,PH-6100
14,BT-4500.6500-500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BT-4500.6500-500,en,BT-4500.6500
15,PN-8100.6500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PN-8100.6500,en,PN-8100
16,PH-6100.6800,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PH-6100.6800,en,PH-6100
17,LJ-5000.1500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-5000.1500,en,LJ-5000
18,LN-1500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LN-1500,en,LN
19,LJ-2000.6750,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-2000.6750,en,LJ-2000
20,LJ-2000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-2000,en,LJ
21,NL-6000.9500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=NL-6000.9500,en,NL-6000
22,LV-1600.6400,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LV-1600.6400,en,LV-1600
23,LJ-5000.6600,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-5000.6600,en,LJ-5000
24,LJ-5000.1000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-5000.1000,en,LJ-5000
25,LR-1700,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LR-1700,en,LR
26,DM-1500.1500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=DM-1500.1500,en,DM-1500
27,BH,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BH,en,BH
28,HD-1800.1800,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=HD-1800.1800,en,HD-1800
29,BV-8900,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BV-8900,en,BV
30,WR-0000.0000,*Missing AIRS description.*,,WithinReach AIRS Custom,en,WR-0000
31,RX,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=RX,en,RX
32,RM-6500.1500,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=RM-6500.1500,en,RM-6500
33,LF-4900.8000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LF-4900.8000,en,LF-4900
34,LJ-5000.5050,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-5000.5050,en,LJ-5000
35,BT-8300,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=BT-8300,en,BT
36,PH-7000,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=PH-7000,en,PH
37,LJ-2000.0100,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LJ-2000.0100,en,LJ-2000
38,LV,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=LV,en,LV
39,RX-8470.8350,*Missing AIRS description.*,,https://211taxonomy.org/search/record?code=RX-8470.8350,en,RX-8470
