,organization_id,o_name,o_description,o_url,location_id,l_name,l_description,latitude,longitude,address_1,address_2,city,state_province,postal_code,cluster id,confidence
0,46c4acdfa7407bb1f0de32a2467c7987,required text,required text,http://some.domain.com,ae97066be6a14f53d572bcbab83d4ef4,required text,,,,text,text,text,two character state (all caps),99999 or 99999-9999,50,1.0
1,0311533a6d3626101e12996e914c1477,depressive and bipolar support alliance whatcom county,"peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder. provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,5cbaa27bd58a2b8b728caad9c8a554bf,depressive and bipolar support alliance,,,,800 chestnut street,suite 1c,bellingham,wa,98225,51,1.0
2,c5fce969171a54cfae5440cacfd45585,bellingham parks and recreation division,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,https://cob.org/services/recreation,647b980c49850404ea2db47db8ec504c,bellingham parks recreation division,,,,210 lottie street,,bellingham,wa,98225,0,0.5000155568122864
3,7536dcaf0707e39f30ec2936a5b6774e,mount baker school district,public school district.,http://www.mtbaker.wednet.edu,2cc46b37742f870c0904d2a6f8adcd2e,mount baker school district,,,,4956 deming road,,deming,wa,98244,52,1.0
4,b3fa2d0531dc59d40be538c89a15e383,bellingham technical college,"bellingham technical college provides student-centered, high-quality professional technical education for todays needs and tomorrows opportunities.",https://www.btc.edu,52dbbe006552f49c9a32e5dee5e3f7ce,bellingham technical college,,,,3028 lindbergh avenue,,bellingham,wa,98225,1,0.5000026822090149
5,602724e9827535072fb6063f9756a382,bellingham school district,public school district.,http://bellinghamschools.org,e01e567abaaaabcaaeee6d77baddac81,bellingham school district,,,,1306 dupont street,,bellingham,wa,98225,53,1.0
6,5e994039f375e96105440368e1f3d0ee,nooksack valley school district,public school district.,https://www.nv.k12.wa.us,64489de146ab63c06cfc167287677084,nooksack valley school district,,,,3326 east badger road,,everson,wa,98247,2,0.5000026822090149
7,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,35df38441a6f0e1168c92f1871ec50ce,western washington university,,,,516 high street,,bellingham,wa,98225,3,0.5000014901183398
8,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,b165a181ffccf4e674889c95b50a1094,western washington universitys counseling center,,,,516 high street,room 540,bellingham,wa,98225,3,0.5000005722049172
9,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,7f96fc6e9827d1749e394a07ad0230ac,western washington universitys financial aid department,,,,516 high street,room 265,bellingham,wa,98225,3,0.5000005722049172
10,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,10d10a539af6520c01cbb4e6a88fdb25,western washington universitys hearing and aural rehabilitation clinics,,,,516 high street,"2nd floor, room 256",bellingham,wa,98225,3,0.500000596046803
11,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,f158948d058561c4d2d5851e5f878590,western washington universitys counseling training clinic,,,,188 east college way,room 453,bellingham,wa,98225,54,1.0
12,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,902bcf85038fe3842faa34b23bf57b45,western washington universitys career services center,,,,516 high street,room 280,bellingham,wa,98225,3,0.5000005722049172
13,00f7f9e45b0c787242643aa29cd05495,western washington university,pubic university.,http://www.wwu.edu,1840e6e627a72d15d1b78bca9b2963f8,western washington universitys hearing aid bank,,,,516 high street,,bellingham,wa,98225,3,0.5000014901183398
14,61a5dc17f6456c676903dbd1139c8be8,ferndale school district,public school district.,http://www.ferndalesd.org,e941f934da660e7f24f96b5d4454fb1a,ferndale school district,,,,6041 vista drive,,ferndale,wa,98248,55,1.0
15,371555bbeaf29ae9406ec757bb0da9d7,point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,9965c419a97a8647ccfababa71949407,point roberts food bank,,,,323 evergreen way,,point roberts,wa,98281,56,1.0
16,052af8b62008c60a3c5875732d853fc3,river of life community church,river of life community church has an outward focus. from helping feed and clothe our neighbors outreaches focused on kids reaching our hispanic neighbors through our maple falls church.,,a6c771f636324daecea8df6cf2cbfd35,river of life community church,,,,4037 valley highway,,deming,wa,98244,57,1.0
17,8da8a420a1b8be5fbd4898e98e076ec9,saint vincent de paul - sacred heart church,a faith based organization that offers assistance to people in need.,https://www.shbham.org,cd3b7581740a47cbd501f41e5bd4c494,saint vincent de paul sacred heart church,,,,1110 14th street,,bellingham,wa,98225,4,0.5000227297545161
18,eff0f55d955a1fe8229cbed3dddd3fb9,community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,aecb50ff7f390d2c3211e805d63695ec,community assistance program at christ episcopal church,,,,382 boblett street,,blaine,wa,98230,58,1.0
19,eff0f55d955a1fe8229cbed3dddd3fb9,community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,a63d054e8d93aad374aea997ac547919,community assistance program at blaine christian fellowship,,,,902 adelia street,,blaine,wa,98230,59,1.0
20,eff0f55d955a1fe8229cbed3dddd3fb9,community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,76ad9e77ba83ee77dacdc83cc3b87dbf,community assistance program,,,,508 g street,,blaine,wa,98230,5,0.5000232458114624
21,29b54fd8bb370012d41318973462997e,whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,143f842e943e88dfb68c343da937a461,whatcom hospice,,,,2800 douglas avenue,,bellingham,wa,98225,60,1.0
22,29b54fd8bb370012d41318973462997e,whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,bfae96588794558f40e4adb03e09b604,whatcom hospice foundation,,,,3001 squalicum parkway,suite 11,bellingham,wa,98225,61,1.0
23,b4626cb9b6cae2690aa90d2407e66ecb,blaine community/senior center,senior center.,https://www.blaineseniorcenter.org,6f024bd4e255f3133c024bbc33b3a4a9,blaine community/senior center,,,,763 g street,,blaine,wa,98230,62,1.0
24,5c7e8a60ef40145dc2610a19be5fbd35,whatcom county parks and recreation department,"the goal of the parks and recreation department is to enrich the quality of life for the community and preserve the natural and cultural heritage of the county through provision of outstanding parks and trails, open space and natural areas, as well as recreational activities and senior services.",http://www.co.whatcom.wa.us/1787/parks-recreation,e5308c8914543f8336fb6e4b424ab8a6,whatcom county parks and recreation department,,,,3373 mount baker highway,,bellingham,wa,98226,63,1.0
25,8b68df74c4bafc23dfd50c71b244642a,whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,aa099a26f0e72f4f0fcfa5d9b2a593de,whatcom county health department,,,,509 girard street,,bellingham,wa,98225,5,0.5000232458114624
26,8b68df74c4bafc23dfd50c71b244642a,whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,ce18829922a51590be4815808466bb0e,whatcom county health department on north state street,,,,1500 north state street,,bellingham,wa,98225,6,0.5000161754721217
27,8b68df74c4bafc23dfd50c71b244642a,whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,c079e876524fdc404fc3dc4c4026c3fd,whatcom county health department at bellingham international airport,,,,4255 mitchell way,,bellingham,wa,98226,64,1.0
28,4903373e4447516de56f7bd8448e0565,bellingham whatcom county housing authorities,the housing authority of the city of bellingham is a local government agency that serves thousands of residents in whatcom county. the bellingham housing authority and the whatcom county housing authority work together to provide needed housing in our community.,http://www.bellinghamhousing.org,24d85e133b237c2f094a9291e086acd4,bellingham whatcom county housing authorities,,,,208 unity st,,bellingham,wa,98225,7,0.5000223522414134
29,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,188511b836e95c6db86e954c1197b711,whatcom county juvenile court,,,,311 grand avenue,suite 501,bellingham,wa,98225,8,0.5000064373430751
30,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,1e860ceff41e5c12b25e9e03a2613d31,teen court whatcom county courts,,,,1020 north state street,,bellingham,wa,98225,6,0.5000170695715178
31,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,6e8d74eaf12ae616a59140c7a11ff79c,whatcom county superior court,,,,311 grand avenue,suite 301,bellingham,wa,98225,8,0.5000064373430751
32,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,ee3c8d6dbb3fae38b6974f5101ddc5e3,whatcom county district court,,,,311 grand avenue,suite 401,bellingham,wa,98225,8,0.5000064373430751
33,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,33a73f1573482db851aca8448f1209a5,bellingham municipal court,,,,2014 c street,,bellingham,wa,98225,9,0.5000199675559998
34,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,0ee1f8985c764a2b55352ed456e3c074,blaine municipal court,,,,435 martin st,suite 4000,blaine,wa,98230,10,0.5000238225572095
35,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,2ef9de6d7a94fbeb0f58fac13722e1f2,everson/nooksack municipal court,,,,111 w main st,,everson,wa,98247,11,0.5000275679081982
36,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,8081979dd6603d232a72673fe8e8a2fa,ferndale municipal court,,,,5694 2nd avenue,,ferndale,wa,98248,12,0.5000180605335498
37,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,1973fc795f85b4741fdf316c47253e27,lynden municipal court,,,,205 4th street,,lynden,wa,98264,13,0.5000229483148637
38,9d08b9f493fff272b6f232030f5ee7f3,whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,3fc651914c3ec7cf00e98c0d333c4229,sumas municipal court,,,,433 cherry street,,sumas,wa,98295,65,1.0
39,438395afe92cb81df3c95b4e443230ae,whatcom county sheriffs office,law enforcement agency.,http://www.co.whatcom.wa.us/sheriff/,0bf6e5b114e86f28206d061fc2115fc2,whatcom county sheriffs office,,,,311 grand avenue,,bellingham,wa,98225,8,0.5000090599880893
40,c8ad9b39916ca54c5356241f61e1ee75,lydia place,the mission of lydia place is to disrupt the cycle of homelessness and promote sustained independence for current and future generations.,http://www.lydiaplace.org,f117a04d67eb7662c3e1b92f147c0c62,lydia place,,,,1701 gladstone street,,bellingham,wa,98229,14,0.5000014901161194
41,4bbab5642324bc3f5b534d95fe679750,vietnam veterans of america 165,services for veterans of vietnam and the vietnam-era and their families.,http://www.vva165.org,df1cef0c32a5e0176bec8eff7e33aa7c,vfw post 1585,,,,625 north state street,,bellingham,wa,98225,66,1.0
42,057fbd0776c79d85b410359a8a7b2733,blaine food bank,community food bank that offers food to anyone in need.,https://www.blainefoodbank.org,5441602f9d0852cbca28a7b89bd54859,blaine food bank,,,,500 c street,,blaine,wa,98230,15,0.5000013709068298
