Agency_Id,AgencyContact_AgencyContact_Both,AgencySystem_DateOfLastCompleteUpdate,AgencyOption_Status,AgencySystem_Name,AgencySystem_Description,AgencySystem_Websiteurl,AgencyCustom_AdministratorName,AgencyCustom_AdministratorTitle,AgencySystem_LicensesOrAccreditations,AgencySystem_Fein,AgencyOption_ProviderType
Agency ID,EXPORT ONLY,YYYY/MM/DD,"[83 => ""Suspended"", 2295 => ""Delete"", 77 => ""Active"", 2634 => ""COVID-19 Closure"", 79 => ""Inactive"", 84 => ""Temporary"", 249 => ""Closed"", 250 => ""Outreach"", 80 => ""On Hold"", 81 => ""New"", 82 => ""Rejected"", 78 => ""Cancelled""]",*REQUIRED* text,*REQUIRED* text,http://some.domain.com,text,text,text,99-9999999,"[242 => ""Cooperative"", 245 => ""Government"", 247 => ""Other"", 244 => ""For Profit"", 246 => ""Non-Profit"", 243 => ""Education"", 248 => ""Faith Based""]"
4929,"[{""Contact_Id"":2281,""Name"":""Larry Vanderpol <larryvanderpol@comcast.net>""}]",2022/08/17,"[""Active""]",Depressive and Bipolar Support Alliance Whatcom County,"Peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder.  Provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,,,,,"[""Non-Profit""]"
4930,"[{""Contact_Id"":4203,""Name"":""Nicole Oliver <parks@cob.org>""}]",2021/08/18,"[""Active""]",Bellingham Parks and Recreation Division,The Parks and Recreation Department supports a healthy community by providing high quality parks and recreation services.,https://cob.org/services/recreation,,,,,"[""Government""]"
4933,"[{""Contact_Id"":1447,""Name"":""Lauren Oswald <loswald@mtbaker.wednet.edu>""}]",2021/09/23,"[""Active""]",Mount Baker School District,Public school district.,http://www.mtbaker.wednet.edu,,,,,"[""Education""]"
4936,"[{""Contact_Id"":1645,""Name"":""Jennifer Knudsen <jknudsen@btc.edu>""}]",2022/06/20,"[""Active""]",Bellingham Technical College,"Bellingham Technical College provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",https://www.btc.edu,,,,,"[""Education""]"
4939,"[{""Contact_Id"":2618,""Name"":""Roxana Parise <roxana.parise@bellinghamschools.org>""}]",2022/06/01,"[""Active""]",Bellingham School District,Public school district.,http://bellinghamschools.org,,,,,"[""Education""]"
4941,"[{""Contact_Id"":304,""Name"":""Becky Robertson <becky.robertson@nv.k12.wa.us>""}]",2021/09/23,"[""Active""]",Nooksack Valley School District,Public school district.,https://www.nv.k12.wa.us,,,,,"[""Education""]"
4943,"[{""Contact_Id"":3140,""Name"":""Paul Cocke <Paul.Cocke@wwu.edu>""}]",2022/02/18,"[""Active""]",Western Washington University,Pubic University.,http://www.wwu.edu,,,,,"[""Education""]"
4947,"[{""Contact_Id"":4724,""Name"":""Kim Bunch <kim.bunch@ferndalesd.org>""}]",2022/08/17,"[""Active""]",Ferndale School District,Public school district.,http://www.ferndalesd.org,,,,,"[""Education""]"
4952,"[{""Contact_Id"":1424,""Name"":""Henry Rosenthal <rosentl@pointroberts.net>""}]",2021/10/18,"[""Active""]",Point Roberts Food Bank,The Point Roberts Food Bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,,,,,"[""Faith Based""]"
4954,"[{""Contact_Id"":2129,""Name"":""Ken Ferry <kenjferry@gmail.com>""}]",2021/12/16,"[""Active""]",River of Life Community Church,River of Life Community Church has an outward focus. From helping feed and clothe our neighbors; outreaches focused on kids; reaching our Hispanic neighbors through our Maple Falls Church.,,,,,,"[""Faith Based""]"
4955,"[{""Contact_Id"":2822,""Name"":""Melissa Johnson <melissa.johnson@shbham.org>""}]",2021/11/29,"[""Active""]",Saint Vincent de Paul - Sacred Heart Church,A faith based organization that offers assistance to people in need.,https://www.shbham.org,,,,,"[""Faith Based""]"
4962,"[{""Contact_Id"":807,""Name"":""Dan DeMent <blainecap@comcast.net>""}]",2022/03/22,"[""Active""]",Community Assistance Program,"Provides community-based social services to residents of Blaine, Birch Bay, Custer, and Point Roberts.",http://blainecap.org,,,,,"[""Faith Based""]"
4967,"[{""Contact_Id"":1957,""Name"":""Karen Haggen <khaggen@peacehealth.org>""}]",2021/09/08,"[""Active""]",Whatcom Hospice,"Provides services for patients with a life limiting illness of six months or less, and their families. Services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,,,,,"[""Government""]"
4968,"[{""Contact_Id"":2053,""Name"":""Kathy Sitker <kathy@blaineseniorcenter.org>""}]",2022/05/27,"[""Active""]",Blaine Community/Senior Center,Senior Center.,https://www.blaineseniorcenter.org,,,,,"[""Government""]"
4973,"[{""Contact_Id"":2862,""Name"":""Michael McFarlane <parks@co.whatcom.wa.us>""}]",2021/09/08,"[""Active""]",Whatcom County Parks and Recreation Department,"The goal of the Parks and Recreation Department is to enrich the quality of life for the community and preserve the natural and cultural heritage of the County through provision of outstanding parks and trails, open space and natural areas, as well as recreational activities and Senior Services.",http://www.co.whatcom.wa.us/1787/Parks-Recreation,,,,,"[""Government""]"
4976,"[{""Contact_Id"":3989,""Name"":""Erika Lautenbach, MPH <health@whatcomcounty.us>""}]",2021/09/08,"[""Active""]",Whatcom County Health Department,To lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/Health-Department,,,,,"[""Government""]"
4977,"[{""Contact_Id"":4259,""Name"":""Carina Rivera <carina.rivera@bellinghamhousing.org>""}]",2021/08/18,"[""Active""]",Bellingham & Whatcom County Housing Authorities,The Housing Authority of the City of Bellingham is a local government agency that serves thousands of residents in Whatcom County. The Bellingham Housing Authority and the Whatcom County Housing Authority work together to provide needed housing in our community.,http://www.bellinghamhousing.org,,,,,"[""Government""]"
4982,"[{""Contact_Id"":875,""Name"":""Dave Reynolds <dreynold@co.whatcom.wa.us>""}]",2021/09/02,"[""Active""]",Whatcom County Courts,Civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,,,,,"[""Government""]"
4983,"[{""Contact_Id"":910,""Name"":""Dawn Pierce <dpierce@co.whatcom.wa.us>""}]",2021/12/28,"[""Active""]",Whatcom County Sheriff's Office,Law enforcement agency.,http://www.co.whatcom.wa.us/sheriff/,,,,,"[""Government""]"
4984,"[{""Contact_Id"":1192,""Name"":""Emily O'Connor <eoconnor@lydiaplace.org>""}]",2022/04/18,"[""Active""]",Lydia Place,The mission of Lydia Place is to disrupt the cycle of homelessness and promote sustained independence for current and future generations.,http://www.lydiaplace.org,,,,,"[""Non-Profit""]"
4985,"[{""Contact_Id"":1305,""Name"":""Tom Grinstad <tgrinstad@gmail.com>""}]",2021/02/18,"[""Active""]",Vietnam Veterans of America #165,Services for veterans of Vietnam and the Vietnam-era and their families.,http://www.vva165.org,,,,,"[""Non-Profit""]"
4986,"[{""Contact_Id"":1684,""Name"":""Jerry Bladies <blainefood@hotmail.com>""}]",2022/03/30,"[""Active""]",Blaine Food Bank,Community food bank that offers food to anyone in need.,https://www.blainefoodbank.org,,,,,"[""Non-Profit""]"
4988,"[{""Contact_Id"":2025,""Name"":""Byron Manering <bmanering@brigidcollins.org>""}]",2021/08/24,"[""Active""]",Brigid Collins Family Support Center,"Works to end child abuse in both Whatcom and Skagit Counties. Connects with local law enforcement jurisdictions, prosecuting attorneys, medical providers, child protection workers and therapists from both counties.",http://www.brigidcollins.org,Jenn Lockwood,Program Director,,,"[""Non-Profit""]"
4989,"[{""Contact_Id"":2299,""Name"":""Laura Clark <director@whatcomhumane.org>""}]",2021/09/07,"[""Active""]",Whatcom Humane Society,"Advocate for animals by educating the community to promote humane treatment and respect for animals and provide for abandoned, injured, abused or neglected animals.",http://www.whatcomhumane.org,,,,,"[""Non-Profit""]"
4990,"[{""Contact_Id"":2307,""Name"":""Deanna Wildermuth <info@interfaith-coalition.org>""}]",2022/07/01,"[""Active""]",Interfaith Coalition of Whatcom County,Interfaith Coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,Carolyn Roy,Program Director,,,"[""Non-Profit""]"
4992,"[{""Contact_Id"":332,""Name"":""Beth Marsau <BethMarsau@comcast.net>""}]",2021/11/29,"[""Active""]",Northwest Braille Services,A non-profit agency providing braille services.,,Beth Marsau,Coordinator,,,"[""Non-Profit""]"
4994,"[{""Contact_Id"":4197,""Name"":"" <info@whatcomclubs.org>""}]",2022/08/12,"[""Active""]",Boys and Girls Clubs of Whatcom County,Provides affordable after school youth services in Whatcom County.,http://www.whatcomclubs.org,,,,,"[""Non-Profit""]"
4995,"[{""Contact_Id"":4718,""Name"":""Larry Newland <lhull15@voaww.org>""}]",2022/07/07,"[""Active""]",We Care of Whatcom County,"Provides inexpensive clothing, furniture and housewares to residents of Whatcom County.",,,,,,"[""Non-Profit""]"
4997,"[{""Contact_Id"":624,""Name"":""Cheri Woolsey <cheriw@ccsww.org>""}]",2022/05/10,"[""Active""]",Hope House,"Hope House is a multi-service center and collaborative effort between multiple non-profit agencies to provide clothing, housewares, emergency food,  hygiene, personal care, diapers, school supplies, flashlights, soaps and supplies for those in need.",https://www.assumption.org/hope-house.html,Cheri Woolsey,,,,"[""Non-Profit""]"
4998,"[{""Contact_Id"":669,""Name"":""Melissa Hatcher <info@whatcomclinic.com>""}]",2021/09/08,"[""Active""]",Whatcom County Pregnancy Clinic,"Provides services for educating, equipping, and empowering individuals and families facing an unplanned pregnancy by offering a compassionate and confidential environment for patients to be heard and to receive accurate information and medical care.",http://www.whatcomclinic.com,Melissa Hatcher,Administrative Assistant,,,"[""Non-Profit""]"
5073,"[{""Contact_Id"":1722,""Name"":""Suzanne Olson <suzanne@new-way-ministries.org>""}]",2022/04/13,"[""Active""]",New Way Ministries,"A non-profit faith based organization that provides transitional housing for women and their children.  A program designed to assist families in crisis by providing stable housing, dependable income and resources for help and encouragement.",http://www.christianhopeassociation.org,Don Kok,Executive Director,,,"[""Faith Based""]"
5144,"[{""Contact_Id"":1862,""Name"":""Place Holder <WhatcomCCS@WhatcomCCS.org>""}]",2022/06/13,"[""Active""]",Catholic Community Services of Western Washington in Whatcom County,"Provides social, mental health and chemical dependency services to residents of Whatcom County.",http://www.ccsww.org,,,,91-1585652,"[""Non-Profit""]"
5152,"[{""Contact_Id"":1254,""Name"":"" <whatcompflag@gmail.com>""}]",2021/12/23,"[""Active""]",PFLAG Whatcom,"A volunteer group providing Support, Education and Advocacy for LGBTQ+ people, their family and friends.",http://www.whatcompflag.org,,,,,"[""Non-Profit""]"
5235,"[{""Contact_Id"":1689,""Name"":""Jess Davis <jessicad@workopportunities.org>""}]",2022/01/05,"[""Active""]","Work Opportunities, Inc.","An agency which provides vocational rehabilitation and employment services to persons with mental, physical, emotional and sensory disabilities, so they might obtain the training and employment experiences they need to achieve economic self-sufficiency.  www.workopportunities.org",http://www.workopportunities.org,,,,,"[""Non-Profit""]"
5324,"[{""Contact_Id"":2919,""Name"":""Kristin Costanza <kristinc@bellinghamfoodbank.org>""}]",2022/03/30,"[""Active""]",Bellingham Food Bank,"Bellingham Food Bank provides emergency food to those in need residing in Bellingham.  It is the lead agency for Whatcom County food banks in Ferndale, Lynden, Everson, Deming, Blaine, and Lummi Island.",http://bellinghamfoodbank.org,,,,,"[""Non-Profit""]"
5325,"[{""Contact_Id"":2993,""Name"":""Suzanne Carlson-Prandini <scarlson-prandini@cob.org>""}]",2022/03/11,"[""Active""]",Bellingham Public Library,"Provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. It is a department of the City of Bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,Rebecca Judd,Library Director,,,"[""Government""]"
