Agency_Id,Program_Id,ProgramContact_ProgramContact,ProgramSystem_LastUpdatereviewDate,ProgramOption_Status,ProgramSystem_Name,ProgramSystem_Description,ProgramSystem_TypeOfFees,ProgramSystem_DocumentsRequired,ProgramSystem_Eligibility,ProgramSystem_ApplicationintakeProcess
Agency ID,Program ID,"[{""contact_id"":integer}]",YYYY/MM/DD,"[83 => ""Suspended"", 2295 => ""Delete"", 77 => ""Active"", 2634 => ""COVID-19 Closure"", 79 => ""Inactive"", 84 => ""Temporary"", 249 => ""Closed"", 250 => ""Outreach"", 80 => ""On Hold"", 81 => ""New"", 82 => ""Rejected"", 78 => ""Cancelled""]",*REQUIRED* text,*REQUIRED* text,*REQUIRED* text,text,*REQUIRED* text,*REQUIRED* text
4929,147,"[{""Contact_Id"":2281}]",2022/08/17,"[""Active""]",Support Group,DBSA (Depressive/Bi-Polar Support Alliance) of Whatcom County is a monthly support group to help provide a meeting place where Depressive/Bipolar people can meet for support and education.  Family and friends are welcome and encouraged to be a part of the group.,None.,,"Anyone in need of support group information.  Anyone diagnosed with depression/bipolar disorder, or anyone seeking more information about these illnesses.",Call.
4930,274,"[{""Contact_Id"":4203}]",2021/08/18,"[""Active""]",Recreational Opportunities,"Provides recreational opportunities for all community members through community events, classes, leagues, trails, parks, and other programs. A full listing and description of currently available services and programs are found in the Leisure Guides that are included as inserts in the Bellingham Herald January, March, May, and September.  These program listings are also available through the city's website.",Fees depend on the program or service. Scholarships are available.,,None.,None.
4933,666,"[{""Contact_Id"":1447}]",2021/09/23,"[""Active""]",District Office,Main phone number for the Mount Baker School District.,None.,,None.,None.
4933,6558,"[{""Contact_Id"":1447}]",2021/09/23,"[""Active""]",Homeless Student Liaison,"Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or assisting them with enrollment in their local school without delay.  Also provides referrals to health care, dental, mental health and other appropriate services.  Homeless students cannot be penalized for infractions, such as absenteeism, that relate to their homelessness.  Under the McKinney-Vento act, students must be allowed to attend their school of origin ""to the extent feasible.""",None.,,"Families or unaccompanied minors who lack a fixed, regular and adequate nighttime residence: •  Temporarily sharing housing •  Living in motels or camping grounds due to the lack of alternative accommodations•  Using as a nighttime residence a public or private place not ordinarily designed for sleeping •  Living in emergency shelters or transitional housing",Contact the school district to be connected to the McKinney-Vento Homeless Liaison.
4936,150,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]",Educational Services,"Operates a public, post-secondary institution offering AAS degrees and certificates. Also offers college readiness that includes basic skills classes, high school diploma, GED preparation as well as ESL classes.",Fees are based on the classes taken.,,Anyone 16 years of age or older.,Call or visit website.
4936,6219,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]",Automotive Repairs,"Limited car repairs available through the Automotive Technology Program. All customer work selected must coincide with current classroom curriculum. Does not guarantee a completion date. On average, most repairs take one week to complete, however, some larger repairs may take several weeks. Cannot make the following repairs:-  Engine Rebuilds-  Automatic Transmission Rebuilding -  Exhaust work",Shop rate is $30 per hour based on the auto manufacture’s suggested flat rate for services needed. All vehicles taken in are subject to a one-hour diagnosis fee based on this rate at which time a written estimate for services needed including parts and labor will be provided.,,Vehicles older than 15 years typically will not be selected unless they meet a specific teaching requirement.,Call or visit website.
4936,9143,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]",Dental Clinic,"Provides dental services in conjunction with the Bellingham Technical College Dental Assisting Program. Dental care is provided by community dentists and hygienists assisted by students. Since this is a learning environment, appointments may proceed at a slower pace and observers may be present. Offers-  Exams-  X-rays-  Dental cleanings for children, adults and patients with gum disease-  Sealants-  Simple fillings",Vary.,,Adults and children.,Email the clinic.
4936,12134,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]",Parenting Education,"Offers a variety of classes for parents. The ""Family Connection"" classes for parents and their infants, toddlers, and preschoolers include both the parent and young child (ages 1 -5 years). The various discussion classes on specific parenting topics are offered for parents of toddlers to teens.Provides a variety of classes that inform expectant parents about pregnancy, labor and birth, post partum expectations, and baby care. Breathing and relaxation techniques to use during labor and birth are also taught. A variety of parenting classes are also available. Program offered in conjunction with Peace Health St. Joseph Medical Center.",Vary.  Partial scholarships are available.,,Any parent interested in the services offered.,Call or visit website.
4939,8762,"[{""Contact_Id"":2618}]",2022/06/01,"[""Active""]",District Office,"Provides public education at 22 schools in the Bellingham area. Additionally offers free preschool, a focused program for pregnant and parenting students, as well as career and technical education.",None.,"For students who have not previously enrolled in Bellingham Public Schools:-  Child’s birth certificate or other official verification of age such as a passport, visa or DSHS Medicaid Voucher,-  Proof of residency - acceptable proof includes government issued documents, lease or rental agreement, utility bills,-  Immunization records.",Children must be 5 before Sept. 1 to attend kindergarten and live in one of the school attendance areas.,Call or complete online registration process.
