Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
Agency ID,Service ID,"[{""contact_id"":integer}]",YYYY/MM/DD,"[83 => ""Suspended"", 2295 => ""Delete"", 77 => ""Active"", 2634 => ""COVID-19 Closure"", 79 => ""Inactive"", 84 => ""Temporary"", 249 => ""Closed"", 250 => ""Outreach"", 80 => ""On Hold"", 81 => ""New"", 82 => ""Rejected"", 78 => ""Cancelled""]","[776 => ""Show Service"", 777 => ""Hide Service""]",EXPORT ONLY,"*REQUIRED* [{""account_id"":integer}] *REQUIRED*","[770 => ""GC211"", 773 => ""EW211"", 772 => ""KC211"", 771 => ""NS211"", 775 => ""PE211"", 769 => ""SS211"", 774 => ""SW211"", 810 => ""Recovery""]",*REQUIRED* text,text,text,*REQUIRED* text,999-999-9999,text,text,name@domain.com,http://some.domain.com,EXPORT ONLY,"[{""Program_Id"":integer}] OR [integer]*REQUIRED*",EXPORT ONLY,"[{""Site_Id"":integer}] OR [integer]*REQUIRED*","{""open"":{""Sunday"":[[[""start_hour"",""start_minute""],[""end_hour"",""end_minute""]]],""Monday"":[[[""start_hour"",""start_minute""],[""end_hour"",""end_minute""]]]},""closed"":{}}","[276 => ""Sunday"", 277 => ""Monday"", 278 => ""Tuesday"", 279 => ""Wednesday"", 280 => ""Thursday"", 281 => ""Friday"", 282 => ""Saturday""]","[398 => ""After School"", 399 => ""Available 5-9pm"", 400 => ""Available 6am-noon"", 401 => ""Available noon-5pm"", 402 => ""Before School"", 403 => ""Available 9pm-midnight"", 404 => ""Available midnight-6am"", 405 => ""Summer"", 406 => ""Weekend""]","true,false,null",text,"*REQUIRED* [{""taxonomy_code"":""PL-7000.4350-650""},{""taxonomy_code"":""PH-1800.6260""}]","*REQUIRED* [{""scope"":""state"",""state"":""CA""},{""scope"":""county"",""county"":""Orange"",""state"":""CA""},{""scope"":""zip"",""zip"":""92802""},{""scope"":""city"",""city"":""Anaheim"",""state"":""CA""},{""scope"":""country"",""country"":""US""},{""scope"":""city_zip"",""city"":""Anaheim"",""zip"":""92802"",""state"":""CA""},{""scope"":""zip_city"",""city"":""Anaheim"",""zip"":""92802"",""state"":""CA""},{""scope"":""county_zip"",""county"":""Orange"",""zip"":""92802"",""state"":""CA""},{""scope"":""zip_county"",""county"":""Orange"",""zip"":""92802"",""state"":""CA""},{""scope"":""city_county"",""city"":""Anaheim"",""county"":""Orange"",""state"":""CA""},{""scope"":""county_city"",""city"":""Anaheim"",""county"":""Orange"",""state"":""CA""},{""scope"":""customregion"",""customregion_id"":""integer""}]",*REQUIRED* text,text,text,"[361 => ""Active Military"", 363 => ""American Indian/Alaska Native"", 364 => ""Asian American"", 365 => ""Cocaine Users"", 367 => ""Couples"", 2938 => ""Black Americans"", 374 => ""Hispanic"", 397 => ""Veterans - No Honorable Discharge"", 387 => ""Caregiver"", 382 => ""College Students"", 379 => ""Male"", 380 => ""Medical Marijuana Card Holder"", 381 => ""Mentally Ill"", 388 => ""People with Co-Occurring Disorders"", 383 => ""Polysubstance User (Benzos)"", 384 => ""Polysubstance User (Illicit)"", 385 => ""Polysubstance Users (Alcohol)"", 386 => ""Pregnant Women"", 389 => ""Sex Offenders"", 390 => ""Single Men"", 391 => ""Single Parent Families Headed by Fathers"", 392 => ""Single Parent Families Headed by Mothers"", 393 => ""Single Women"", 394 => ""Suboxone Prescription Holder"", 2665 => ""Survivors of Human Trafficking"", 395 => ""Two Parent Families"", 396 => ""Veterans"", 366 => ""Codependent"", 368 => ""Court-Ordered Individuals"", 369 => ""Domestic Violence Survivors"", 370 => ""Families/Friends of Addicts"", 2763 => ""Farmers/Farm Workers"", 371 => ""Female"", 360 => ""Fleeing DV"", 372 => ""Formerly Incarcerated"", 373 => ""Foster Youth"", 362 => ""General"", 375 => ""Homeless"", 376 => ""Immigrant"", 378 => ""LGBTQ Individuals"", 377 => ""Low Income"", 2996 => ""Sex Trade Workers""]","[283 => ""Youth (under 13)"", 284 => ""Adolescents (13-17)"", 285 => ""Young Adults (18-24)"", 286 => ""Older Adults (65+)"", 664 => ""Adults (25-64)""]","[340 => ""Mental Illness - Chronic/Severe"", 341 => ""Miscarriage"", 342 => ""Multiple Sclerosis"", 343 => ""Muscular Dystrophy"", 344 => ""Pain"", 345 => ""Paralysis"", 346 => ""Parkinson's Disease"", 298 => ""AIDS/HIV"", 299 => ""Alcohol Dependency"", 317 => ""Deafness/Hard of Hearing"", 318 => ""Debt/Overspending"", 319 => ""Dementia"", 320 => ""Developmental Disabilities"", 321 => ""Diabetes"", 322 => ""Down Syndrome"", 323 => ""Drug Dependency"", 324 => ""Eating Disorders"", 325 => ""Epilepsy"", 326 => ""Fetal Alcohol Syndrome"", 327 => ""Fibromyalgia"", 328 => ""Gambling Addiction"", 329 => ""General Addictions/Dependencies"", 330 => ""General Disabilities"", 300 => ""Alzheimer's Disease"", 301 => ""Amputations"", 307 => ""Bleeding Disorders"", 308 => ""Blindness/Low Vision"", 309 => ""Brain Injury"", 310 => ""Cancer"", 311 => ""Celiac Disease"", 312 => ""Cerebral Palsy"", 313 => ""Chronic Fatigue Syndrome"", 314 => ""Computer/Video Game Addiction"", 2764 => ""COVID-19"", 315 => ""Crohn's Disease"", 316 => ""Cystic Fibrosis"", 331 => ""Heart Disease"", 332 => ""Hepatitis"", 333 => ""Hoarding"", 334 => ""Infertility"", 335 => ""Intellectual Disabilities"", 336 => ""Kidney Disease"", 337 => ""Learning Disabilities"", 338 => ""Lung Disease"", 339 => ""Lupus"", 347 => ""Post Traumatic Stress Disorder (PTSD)"", 348 => ""Psoriasis"", 349 => ""Sexual/Love Addiction"", 350 => ""Sexually Transmitted Infection (STI)"", 2597 => ""Sickle Cell Anemia"", 351 => ""Smoking Addiction"", 352 => ""Spina Bifida"", 353 => ""Spinal Cord Injuries"", 354 => ""Stillbirth"", 355 => ""Stroke"", 1376 => ""Monkeypox"", 302 => ""Amyotrophic Lateral Sclerosis (ALS)"", 303 => ""Arthritis"", 304 => ""Asthma"", 305 => ""Attention Deficit/Hyperactivity Disorder (ADHD)"", 306 => ""Autism Spectrum Disorders"", 356 => ""Sudden Infant Death Syndrome"", 357 => ""Terminal Illness"", 358 => ""Tourette's Syndrome"", 359 => ""Tuberculosis""]"
4929,18575,"[{""Contact_Id"":2281}]",2022/08/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Support Group offered at Depressive and Bipolar Support Alliance,This group is meeting online; please contact the facilitators for meeting details.,,A monthly support group to help provide a meeting place where Depressive/Bipolar people can meet for support and education.,360-354-6841,,,,http://www.dbsalliance.org,"[{""Program_Id"":147,""Name"":""Support Group""}]","[{""Program_Id"":147}]","[{""Site_Id"":164,""Name"":""Depressive and Bipolar Support Alliance""}]","[{""Site_Id"":164}]",,,,,"2nd Tu, 7pm.","[{""taxonomy_code"":""PN-8100.5000""}]","[{""scope"":""county"",""county"":""Skagit"",""state"":""WA""},{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Depressive and Bipolar Support Alliance Whatcom County, , Support Group, (Depressive and Bipolar Support Alliance)",,,,,
4930,14601,"[{""Contact_Id"":4203}]",2021/08/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Recreational Opportunities offered at Bellingham Parks Recreation Division,,,"Provides recreational opportunities for all community members through community events, classes, leagues, trails, parks, and other programs.",360-778-7000,,,parks@cob.org,https://www.cob.org/services/recreation,"[{""Program_Id"":274,""Name"":""Recreational Opportunities""}]","[{""Program_Id"":274}]","[{""Site_Id"":313,""Name"":""Bellingham Parks Recreation Division""}]","[{""Site_Id"":313}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""PL-6400.8500-300""},{""taxonomy_code"":""BD-2600.1500""},{""taxonomy_code"":""PL-7400.4500""},{""taxonomy_code"":""PL-7000""},{""taxonomy_code"":""PL-6400.7000-700""},{""taxonomy_code"":""PL-6400.7000-840""},{""taxonomy_code"":""PL-6400.7000-230""},{""taxonomy_code"":""PL-6400.6500-150""},{""taxonomy_code"":""PL-7400.0500""},{""taxonomy_code"":""PL-7400.1700""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham Parks and Recreation Division, Bellingham Parks & Recreation Division, Bellingham Parks and Recreation Division, Recreational Opportunities, (Bellingham Parks Recreation Division), Bellingham Parks and Rec",,,,,
4933,4709,"[{""Contact_Id"":1447}]",2021/09/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Homeless Student Liaison offered at Mount Baker School District,,,Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or helping them enroll in their local school without delay.,360-383-2000,,,,http://www.mtbaker.wednet.edu,"[{""Program_Id"":6558,""Name"":""Homeless Student Liaison""}]","[{""Program_Id"":6558}]","[{""Site_Id"":744,""Name"":""Mount Baker School District""}]","[{""Site_Id"":744}]","{""open"":{""Monday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Friday"":[[[7,30],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7:30am-4pm.","[{""taxonomy_code"":""HH-3000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Mount Baker School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Homeless Student Liaison, (Mount Baker School District)",,,,,
4933,4710,"[{""Contact_Id"":1447}]",2021/09/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",District Office offered at Mount Baker School District,,,Main phone number for the Mount Baker School District.,360-383-2000,,,,http://www.mtbaker.wednet.edu,"[{""Program_Id"":666,""Name"":""District Office""}]","[{""Program_Id"":666}]","[{""Site_Id"":744,""Name"":""Mount Baker School District""}]","[{""Site_Id"":744}]","{""open"":{""Monday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Friday"":[[[7,30],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7:30am-4pm.","[{""taxonomy_code"":""HD-8200""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Mount Baker School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Main Office, (Mount Baker School District)",,,,,
4936,18500,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Parenting Education offered at Bellingham Technical College,,,"Offers various discussion classes on specific parenting topics are offered for parents of toddlers to teens. Includes classes about expectant parents about pregnancy, labor and birth, post partum expectations, baby care, breathing and relaxation techniques to use during labor and birth.",360-752-8353,,,jknudsen@btc.edu,https://www.btc.edu/CommunityAndBusiness/ChildandFamilyStudies/index.html#ChildbirthEducation,"[{""Program_Id"":12134,""Name"":""Parenting Education""}]","[{""Program_Id"":12134}]","[{""Site_Id"":168,""Name"":""Bellingham Technical College""}]","[{""Site_Id"":168}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 8am-5pm; F, 8am-4pm.","[{""taxonomy_code"":""LJ-5000.1500""},{""taxonomy_code"":""PL-7400.6500""},{""taxonomy_code"":""PH-6100.6800""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham Technical College, BTC, Parenting Education, (Bellingham Technical College)",,,,,
4936,18501,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Dental Clinic offered at Bellingham Technical College,,,"Provides dental services in conjunction with the Bellingham Technical College Dental Assisting Program. Dental care is provided by community dentists and hygienists assisted by students. Offers exams, X-rays, dental cleanings, sealants and fillings.",360-752-8349,,,dental@btc.edu,https://www.btc.edu/CommunityAndBusiness/PublicServices.html#DentalServices,"[{""Program_Id"":9143,""Name"":""Dental Clinic""}]","[{""Program_Id"":9143}]","[{""Site_Id"":168,""Name"":""Bellingham Technical College""}]","[{""Site_Id"":168}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 8am-5pm; F, 8am-4pm.","[{""taxonomy_code"":""LV-1600.2400""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham Technical College, BTC, Dental Clinic, (Bellingham Technical College)",,,,,
4936,18502,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Automotive Repair offered at Bellingham Technical College,,May be able to resume outside work Winter Quarter in January of 2023,Limited car repairs available through the Automotive Technology Program. All customer work selected must coincide with current classroom curriculum. Vehicles older than 15 years typically will not be selected unless they meet a specific teaching requirement.,360-752-8474,,,jpalmer@btc.edu,https://www.btc.edu/CommunityAndBusiness/PublicServices.html#Automotive,"[{""Program_Id"":6219,""Name"":""Automotive Repairs""}]","[{""Program_Id"":6219}]","[{""Site_Id"":168,""Name"":""Bellingham Technical College""}]","[{""Site_Id"":168}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 8am-5pm; F, 8am-4pm.","[{""taxonomy_code"":""BM-7000.0500""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]",Automotive Repair offered at Bellingham Technical College,,,,,
4936,18503,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Educational Services offered at Bellingham Technical College,,,"Operates a public, post-secondary institution offering AAS degrees and certificates. Also offers college readiness that includes basic skills classes, high school diploma, GED preparation as well as ESL classes.",360-752-7000,,,btc@btc.edu,https://www.btc.edu/index.html,"[{""Program_Id"":150,""Name"":""Educational Services""}]","[{""Program_Id"":150}]","[{""Site_Id"":168,""Name"":""Bellingham Technical College""}]","[{""Site_Id"":168}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 8am-5pm; F, 8am-4pm.","[{""taxonomy_code"":""HH-0500.2500-250""},{""taxonomy_code"":""HH-0500.2500-050""},{""taxonomy_code"":""HH-0500.8000-150""},{""taxonomy_code"":""HD-6000.9000""},{""taxonomy_code"":""HD-6000.1300-650""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham Technical College, BTC, Main Office, (Bellingham Technical College)",,,,,
4939,10145,"[{""Contact_Id"":2618}]",2022/06/01,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Homeless Student Liaison offered at Bellingham School District,,,Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or helping them enroll in their local school without delay.,360-676-6523,,,roxana.parise@bellinghamschools.org,http://bellinghamschools.org,"[{""Program_Id"":8822,""Name"":""Homeless Student Liaison""}]","[{""Program_Id"":8822}]","[{""Site_Id"":4599,""Name"":""Bellingham School District""}]","[{""Site_Id"":4599}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""HH-3000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Special Education Program - Bellingham School District, Whatcom County School Districts, Whatcom School Districts, Homeless Student Liaison, (Bellingham School District)",,,,,
4939,10146,"[{""Contact_Id"":2618}]",2022/06/01,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",District Office offered at Bellingham School District,,,"Provides public education at 22 schools in the Bellingham area. Additionally offers free preschool, a focused program for pregnant and parenting students, as well as career and technical education.",360-676-6400,,,,http://bellinghamschools.org,"[{""Program_Id"":8762,""Name"":""District Office""}]","[{""Program_Id"":8762}]","[{""Site_Id"":4599,""Name"":""Bellingham School District""}]","[{""Site_Id"":4599}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""HH-9000.9000""},{""taxonomy_code"":""HD-1800.6500-700""},{""taxonomy_code"":""HD-8200""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Bellingham School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Special Education Program - Bellingham School District, Whatcom County School Districts, Whatcom School Districts, Bellingham School District - Main Office, (Bellingham School District)",,,,,
4941,4687,"[{""Contact_Id"":304}]",2021/09/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Homeless Student Liaison offered at Nooksack Valley School District,,,Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or helping them enroll in their local school without delay.,360-988-4754,,,,https://www.nv.k12.wa.us,"[{""Program_Id"":6559,""Name"":""Homeless Student Liaison""}]","[{""Program_Id"":6559}]","[{""Site_Id"":745,""Name"":""Nooksack Valley School District""}]","[{""Site_Id"":745}]","{""open"":{""Monday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Friday"":[[[7,30],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7:30am-4pm.","[{""taxonomy_code"":""HH-3000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Nooksack Valley School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Homeless Student Liaison, (Nooksack Valley School District)",,,,,
4941,4688,"[{""Contact_Id"":304}]",2021/09/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",District Office offered at Nooksack Valley School District,,,Main phone number for the Nooksack Valley School District.,360-988-4754,,,,https://www.nv.k12.wa.us,"[{""Program_Id"":667,""Name"":""District Office""}]","[{""Program_Id"":667}]","[{""Site_Id"":745,""Name"":""Nooksack Valley School District""}]","[{""Site_Id"":745}]","{""open"":{""Monday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Friday"":[[[7,30],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7:30am-4pm.","[{""taxonomy_code"":""HD-8200""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Nooksack Valley School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Nooksack Valley School District - Main Office, (Nooksack Valley School District)",,,,,
4943,1877,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Career Assessments, Counseling, and Interview Prep offered at Western Washington University's Career Services Center",,,Provides career assistance to Western Washington University students and alumni as well as members of the local community. The Center also seeks to develop and maintain positive relationships with employers.,360-650-3240,,,careers@wwu.edu,http://www.wwu.edu/careers,"[{""Program_Id"":14370,""Name"":""Career Assessments, Counseling, and Interview Prep""}]","[{""Program_Id"":14370}]","[{""Site_Id"":8977,""Name"":""Western Washington University's Career Services Center""}]","[{""Site_Id"":8977}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""ND-2000.1500-160""},{""taxonomy_code"":""ND-2000.6500""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Western Washington University, WWU, Career Assessments, Counseling, and Interview Prep, Career Services Center",,,,,
4943,3681,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Individual Counseling offered at Western Washington University's Counseling Training Clinic,,,"Clinic staff work with individuals, couples, children, and families on many issues, such as depression, anxiety problems, relationship issues, behavioral problems, adjustment issues, and a host of other problems.",360-650-3184,,,,https://chss.wwu.edu/psychology/counseling-training-clinic,"[{""Program_Id"":10881,""Name"":""Individual Counseling""}]","[{""Program_Id"":10881}]","[{""Site_Id"":7965,""Name"":""Western Washington University's Counseling Training Clinic""}]","[{""Site_Id"":7965}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""RP-1400.2500""},{""taxonomy_code"":""RF-2000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Western Washington University, WWU, Individual Counseling, Counseling Training Clinic",,,,,
