Agency_Id,Site_Id,SiteContact_SiteContact,SiteSystem_DateOfLastCompleteUpdate,SiteOption_Status,SiteSystem_Name,SiteSystem_HoursOfOperation,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_MailingAddress_address_1,SiteAddressus_MailingAddress_address_2,SiteAddressus_MailingAddress_city,SiteAddressus_MailingAddress_county,SiteAddressus_MailingAddress_state,SiteAddressus_MailingAddress_zip,SiteAddressus_MailingAddress_country,SiteSystem_PhoneMain,SiteCustom_Phone1Ext,SiteCustom_Phone1Description,SiteCustom_PhoneTollFree,SiteCustom_OtherPhone
Agency ID,Site ID,"[{""contact_id"":integer}]",YYYY/MM/DD,"[83 => ""Suspended"", 2295 => ""Delete"", 77 => ""Active"", 2634 => ""COVID-19 Closure"", 79 => ""Inactive"", 84 => ""Temporary"", 249 => ""Closed"", 250 => ""Outreach"", 80 => ""On Hold"", 81 => ""New"", 82 => ""Rejected"", 78 => ""Cancelled""]",*REQUIRED* text,text,text,text,text,text,Two character state (All caps),99999 or 99999-9999,"Defaults to ""US"" if left blank. Two character country (All caps)",text,text,text,text,Two character state (All caps),99999 or 99999-9999,"Defaults to ""US"" if left blank. Two character country (All caps)",999-999-9999,text,text,text,text
4929,164,"[{""Contact_Id"":2281}]",2022/08/17,"[""Active""]",Depressive and Bipolar Support Alliance,"2nd Tu, 7pm.",800 Chestnut Street,Suite 1C,Bellingham,Whatcom,WA,98225,US,PO Box 4124,,Bellingham,Whatcom,WA,98227,US,360-354-6841,,,,
4930,313,"[{""Contact_Id"":4203}]",2021/08/18,"[""Active""]",Bellingham Parks Recreation Division,"M-F, 8am-5pm.",210 Lottie Street,,Bellingham,Whatcom,WA,98225,US,210 Lottie Street,,Bellingham,Whatcom,WA,98225,US,360-778-7000,,,,
4933,744,"[{""Contact_Id"":1447}]",2021/09/23,"[""Active""]",Mount Baker School District,"M-F, 7:30am-4pm.",4956 Deming Road,,Deming,Whatcom,WA,98244,US,PO Box 95,,Deming,Whatcom,WA,98244,US,360-383-2000,,,,
4936,168,"[{""Contact_Id"":1645}]",2022/06/20,"[""Active""]",Bellingham Technical College,"M-Th, 8am-5pm; F, 8am-4pm.",3028 Lindbergh Avenue,,Bellingham,Whatcom,WA,98225,US,3028 LINDBERGH AVE,,BELLINGHAM,Whatcom,WA,98225,US,360-752-7000,,,,
4939,4599,"[{""Contact_Id"":2618}]",2022/06/01,"[""Active""]",Bellingham School District,"M-F, 8am-5pm.",1306 Dupont Street,,Bellingham,Whatcom,WA,98225,US,1306 DUPONT ST,,BELLINGHAM,Whatcom,WA,98225,US,360-676-6400,,,,
4941,745,"[{""Contact_Id"":304}]",2021/09/23,"[""Active""]",Nooksack Valley School District,"M-F, 7:30am-4pm.",3326 East Badger Road,,Everson,Whatcom,WA,98247,US,,,,Whatcom,,,US,360-988-4754,,,,
4943,107,"[{""Contact_Id"":3140}]",2022/02/21,"[""Active""]",Western Washington University,"M-F, 8am-5pm.",516 High Street,,Bellingham,Whatcom,WA,98225,US,,,,Whatcom,,,US,360-650-3000,,,,
4943,5123,"[{""Contact_Id"":3140}]",2022/02/21,"[""Active""]",Western Washington University's Counseling Center,"M W Th F, 8:30am-4:30pm; Tu, 10am-4:30pm.",516 High Street,Room 540,Bellingham,Whatcom,WA,98225,US,,,BELLINGHAM,Whatcom,WA,98225,US,360-650-3164,,,,
4943,5483,"[{""Contact_Id"":3140}]",2022/02/21,"[""Active""]",Western Washington University's Financial Aid Department,"M-F, 8am-5pm.",516 High Street,Room 265,Bellingham,Whatcom,WA,98225,US,516 High Street,OLD MAIN 265 MS 9006,Bellingham,Whatcom,WA,98225,US,360-650-3470,,,,
