name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,contacts,x-website rating,x-logo,legal_status,x-status_last_modified
A Watered Garden Family Learning Center,,Vetted,,Whatcom County,(360) 393-9352,https://awateredgardenflc.weebly.com,"A non-profit faith based organization dedicated to offering educational and personal growth opportunities. Individuals and families build capacity to move from poverty to prosperity in their home and community through communication, cooperation, and collaboration.","ESL/ELL Classes (A Watered Garden),Conversational Spanish Classes (A Watered Garden),GED Class (A Watered Garden),U.S. Citizenship Class (A Watered Garden),Making SMILIES Learning Pathways for Children of Adult Learners,Basic Computer Skills (A Watered Garden),Community Garden (A Watered Garden),Nutrition Class (A Watered Garden)",awateredgardenflc@comcast.net,Everson Seventh Day Adventist Community Services Center,,,,,5/25/2022 7:53am
Answers Counseling,,Vetted,Answers Counseling,Whatcom County,(360) 255-7855,http://www.AnswersCounseling.org/,"Counseling, consulting, and case management services.","Answers Counseling Services,Infant Case Management,Answers Counseling Maternity Support Services,Answers Counseling Parenting Programs",,Bellingham Community Services Office (DSHS),,4,,,5/25/2022 7:31am
Bellingham Community Meal,,Vetted,Bellingham Community Meal,Whatcom County,(360) 647-5114,https://bellinghamcommunitymeal.square.site,"Provides a hearty meal for the community the last Saturday of the month, January through October.",Bellingham Community Meal ,,Assumption Catholic Church,,4,,,3/31/2022 3:27pm
Bellingham Food Bank,,Vetted,Bellingham Food Bank,Whatcom County,(360) 676-0392,http://www.bellinghamfoodbank.org/,Provides free groceries to anyone in Bellingham. Up to two visits per week allowed per household. Pick up for up to two households per visit.,Bellingham Food Bank,"info@bellinghamfoodbank.org
","Bellingham Food Bank,Christ the King Community Church Bellingham",,,,,3/16/2022 2:55pm
Bellingham Parks and Recreation,,Vetted,Bellingham Parks and Recreation,Whatcom County,(360) 778-7000,http://www.cob.org/parks,Supports a healthy community by providing high quality parks and recreation services.,"Arne Hanna Aquatic Center,Free Shower Program,Bellingham Playbook,City of Bellingham Community Garden Program",parks@cob.org,Bellingham Parks and Recreation,,5,,,6/13/2022 1:30pm
Bellingham Public Library,,Vetted,Bellingham Public Library,Whatcom County,(360) 778-7323,http://www.bellinghampubliclibrary.org/,"Serves the residents of Bellingham and Whatcom County with branches in Central Bellingham, Fairhaven, and Barkley.","Tech Help at BPL,Computers and Technology Access at BPL,WiFi Hotspot Lending at BPL,Meeting Rooms at BPL ,Free Museum Passes through BPL ,Outreach Services at BPL ,Nonprofit Resources at BPL,Teacher Resources at BPL,Learning Resources at BPL,Research Tools at BPL,BPL Calendar",,"Bellingham Public Library Central Branch,Bellingham Public Library Fairhaven Branch,Bellingham Public Library Barkley Branch",,5,,,6/28/2022 9:49am
Bellingham Public Schools,,Vetted,,Whatcom County,,https://bellinghamschools.org,"Public school district for Bellingham, WA.","Bellingham Family Resource Centers,McKinney-Vento Program (BPS),Promise Kindergarten,Child Find Preschool Screenings (BPS),Developmental Preschool (BPS),GRADS",,,,,,,3/23/2022 9:36am
Blaine Community Assistance Program,Blaine CAP,Vetted,Blaine CAP,Whatcom County,(360) 392-8484,https://blainecap.org/,"Serves the people of the Blaine, Birch Bay, Custer, and Point Roberts communities who are in need of assistance to meet their basic requirements for food, clothing, and other necessities of daily life.","CAP Crisis Assistance,Blaine Clothing Bank,Blaine and Birch Bay Community Toy Store,CAP Winter Coat Drive,The Food Connection,CAP Thanksgiving Baskets",info@blainecap.org,The CAP Center,,5,,,4/11/2022 2:53pm
Blaine Food Bank,,Vetted,,Whatcom County,(360) 332-6350,www.blainefoodbank.org,"Provides food to Blaine, Custer, Birch Bay, and Semiahmoo residents. Households can visit up to twice per week.",Blaine Food Bank,,Blaine Food Bank,,,,,3/23/2022 10:44am
Blaine School District,,Vetted,,Whatcom County,,https://www.blainesd.org,"Public school district for Blaine, Birch Bay, and Point Roberts, WA.","Blaine Family Service Center,McKinney-Vento Program (BSD) ,Developmental Preschool (BSD)",,,,,,,3/23/2022 9:50am
Blue Skies for Children,,Vetted,Blue Skies,Whatcom County,(360) 756-6710,http://www.blueskiesforchildren.org/,"Sponsors enrichment programs and other essentials for homeless, low-income and foster children in Whatcom and Skagit Counties.","Our Little Wishes Enrichment Program,Our One-Time Little Wishes Program,Our Little Wishes Instrument Loaner Program,Blue Skies Shoe Distribution Program,Blue Skies Back to School Backpack Distribution Program,Blue Skies Winter Warm-Up Distribution Program,Foster Grads Program,Blue Skies Driver's Education Scholarship   ,Swim to Live Program,""The Evan J. Sobjack Memorial Fund, Legends of Mt. Baker """,,Blue Skies for Children,,5,,,5/19/2022 11:06am
Brigid Collins Family Support Center,,Vetted,Brigid Collins,Whatcom County,(360) 734-4616,http://www.brigidcollins.org/," A commitment-based organization  dedicated to protecting children, building strong families, and ending child abuse. ","Parent Child Assistance Program,Familia Latina,Parent Child Interaction Therapy,Parenting Education (Brigid Collins),Stewards of Children",,Brigid Collins Family Support Center,,5,,,5/9/2022 3:28pm
Domestic Violence and Sexual Assault Services (DVSAS),DVSAS,Vetted,,Whatcom County,(360) 715-1563,http://www.dvsas.org/,"Supports individuals affected by domestic violence, sexual assault, and sexual exploitation, and provides community education. All services are free and confidential.","Ask an Advocate at DVSAS,Legal Assistance at DVSAS,DVSAS 24-Hour Helpline,DVSAS Advocacy Counseling,DVSAS Support Groups,DVSAS Safe Housing Program,DVSAS Professional Trainings",,DVSAS,,5,,,8/24/2022 8:42am
Ferndale Community Services,,Vetted,Ferndale Community Services,Whatcom County,(360) 380-2200,http://www.ferndalecsc.org ,A nonprofit organization whose mission is to understand and alleviate unmet needs by providing resources and connection. ,"Family Funds Program,Ferndale Community Utilities Fund,Ferndale Severe Weather Shelter,Ferndale Holiday Giving Store,Ferndale Other Bank,Ferndale Resource Center",info@ferndalecs.org,Ferndale Resource Center,,5,,,4/11/2022 3:41pm
Ferndale Food Bank ,,Vetted,,Whatcom County,(360) 223-0788,http://ferndalefoodbank.org,"Provides food to residents of the Ferndale/Custer area. Please bring a piece of identification (simply your photo with your name) and a Ferndale or Custer area utility bill containing your address with a zip code 98248, 98226, 98230, 98231, or 98240.",Ferndale Food Bank,director@ferndalefoodbank.org,Ferndale Food Bank,,,,,3/23/2022 10:47am
Ferndale School District,,Vetted,,Whatcom County,,https://www.ferndalesd.org,"Public school district for Ferndale, WA.","Ferndale Student Services,Ferndale Jump Start Kindergarten,McKinney-Vento Program (FSD),Child Find Screenings (FSD),Developmental Preschool (FSD)",,,,,,,3/23/2022 10:05am
Food Lifeline Mobile Pantry ,,Vetted,,Whatcom County,(360) 599-3944,,"Located at the East Whatcom Regional Resource Center every 1st Saturday of the Month, and 3rd Friday of the Month.  ",Food Lifeline Mobile Pantry,,East Whatcom Regional Resource Center,,1,,,3/31/2022 2:50pm
Foothills Food Bank ,,Vetted,,Whatcom County,(360) 392-8149,http://www.foothillsfoodbank.org,"Provides fresh and frozen produce, dairy products, meat, proteins, canned and dry goods, and bread. Please bring your own bags or boxes. ",Foothills Food Bank,,"Foothills Food Bank,Harmony Elementary School",,,,,3/23/2022 10:48am
Hope House,,Vetted,,Whatcom County,(360) 671-8702,https://www.assumption.org/hope-house.html,"Basic Needs provided free of charge to those in need in our community. Resources include clothing, household goods, toiletries, cleaning supplies, diapers, emergency food, and more. 
",Hope House,,Hope House,,,,,3/23/2022 10:50am
Interfaith Coalition,,Vetted,Interfaith Coalition,Whatcom County,(360) 734-3983,https://www.interfaith-coalition.org/,Serves people experiencing homelessness in Whatcom County.,"Family Promise,CAST,Interfaith Coalition Winter Warmth Drive",,Interfaith Coalition,,5,,,3/31/2022 3:21pm
Loaves and Fishes Community Meal,,Vetted,Loaves and Fishes,Whatcom County,(360) 734-4500,http://firstbaptistbellingham.com/connect/tuesday-meal,Free hot meal served weekly. ,Loaves and Fishes Community Meal,,First Baptist Church,,,,,3/31/2022 2:59pm
Lummi Food Bank  ,,Vetted,,Whatcom County,,,Commodity food program for income eligible Native Americans and non-tribal people who live on the reservation.,Lummi Food Bank,,Lummi Food Bank,,,,,3/23/2022 10:53am
Lummi Nation School,,Vetted,,Whatcom County,,https://www.lns-onlinelearning.org,A Tribally-Controlled School that serves grades K-12.,McKinney-Vento Program (Lummi),,,,,,,3/23/2022 10:07am
Lummi Tribal Health Center,,Vetted,Lummi Tribal Health Center,Whatcom County,(360) 384-0464,https://www.lummi-nsn.gov/Website.php?PageID=433,"Provides comprehensive health care including outpatient medical, dental, physical therapy, mental health, preventive healthcare and public health services for Lummi Tribal Members and other American Indian/Alaska Natives.","Lummi Tribal Health Center,Lummi Tribal Dental Clinic,Lummi Tribal WIC Program",,Lummi Tribal Health Center,,4,,,3/31/2022 3:32pm
Lynden School District,,Vetted,,Whatcom County,,https://lynden.wednet.edu,"Public school district for Lynden, WA.","Lynden Family Community Services,McKinney-Vento Program (LSD),Child Find Screenings (LSD)",,,,,,,3/23/2022 10:14am
