id,services,service_id,locations,location_id,x-phones,service_at_location,opens_at,closes_at,byday,freq,valid_from,valid_to,dtstart,until,wkst,interval,x-count,byweekno,bymonthday,byyearday,description,timezone,x-special,x-closed
recsz9NWjOZScRGNq,Bellingham Food Bank,recDmxOz8FG1FIcUL,Bellingham Food Bank,recejO96jD3mCyzED,,Food Bank,10:00 AM,6:00 PM,"Monday,Wednesday,Friday",,,,,,,,,,,,,,,
recYlP3E2tFAltjHk,Bellingham Food Bank,recDmxOz8FG1FIcUL,Christ the King Community Church Bellingham,recE9kn7XXnbHYcue,,Food Bank,3:00 PM,6:00 PM,Tuesday,,,,,,,,,,,,,,,
recrC2J8W8I54nrXm,,,Blaine Food Bank,rec0DV1eARliMWTQ4,,,9:00 AM,12:00 PM,"Monday,Friday",,,,,,,,,,,,,,,
rectC2b2uNR6zEa18,,,Blaine Food Bank,rec0DV1eARliMWTQ4,,,5:00 PM,7:00 PM,Wednesday,,,,,,,,,,,,,,,
recqUZlRRljEIARe1,Nooksack Valley Food Bank,recwwyme6oppFzCcy,Nooksack Valley Food Bank Everson,recg2lXT0j7W9in0o,,,10:00 AM,1:00 PM,Thursday,,,,,,,,,,,,,,,
rec7uYO9qN2y40xOC,Nooksack Valley Food Bank,recwwyme6oppFzCcy,Nooksack Valley Food Bank Everson,recg2lXT0j7W9in0o,,,6:30 PM,8:00 PM,Thursday,,,,,,,,,,,,,,,
recKaMYkOyIOSSSBk,Bellingham Family Resource Centers,rec1wq5iiGhDsXfFM,Shuksan Middle School,recRUBkxEjOvC7ac0,,,9:00 AM,4:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday",,,,,,,,,,,,Open during the school year only.,,,
reczrbiZmgUGZqHyA,,,Ferndale Food Bank,reclyWch0xv72HteA,,,9:00 AM,11:00 AM,"Monday,Wednesday,Saturday",,,,,,,,,,,,,,,
recahJpq5BnGBSDu0,,,Foothills Food Bank,recVbgUaA5EsTnSVZ,,Food Bank,8:00 AM,12:00 PM,Tuesday,,,,,,,,,,,,,,,
recXGIfEwR4YprJB3,Southside Food Bank,recdMgKEvRLwnQpxn,Harmony Elementary School,reclvpDYkiwxuN3vJ,,Mobile Food Pantry,4:00 PM,5:00 PM,Monday,,,,,,,,,,,,,,,
rectugDVQjKANKyoq,Lummi Food Bank,recq7lt1krSJ5hh3t,Lummi Food Bank,recq09YuR2MlJhQVW,,Food Bank,12:30 PM,3:30 PM,Friday,,,,,,,,,,,,Closed the first Friday of each month.,,,
rec9wt6qRXJ7Ob8KL,,,Project Hope,recIgoDRUs3aJySBy,,Food Bank,9:30 AM,12:00 PM,"Monday,Friday",,,,,,,,,,,,,,,
recsdgOyzFmG2Bac0,,,Project Hope,recIgoDRUs3aJySBy,,Food Bank,3:00 PM,6:00 PM,Tuesday,,,,,,,,,,,,,,,
