name,organizations,organization_id,alternate_name,description,locations,location_id,url,email,phones,contacts,taxonomy,taxonomy_term_id,address,id,status,application_process,interpretation_services,wait_time,fees,accreditations,licenses,schedule,x-details,y-org status,programs
Salvation Army Energy Assistance ,Salvation Army,recmBwlkTAXZcHKtv,,"Help paying a PSE bill for people who have an urgent and/or shut off notice.

Appointment with Energy Assistance at Opportunity Council needs to be scheduled first (temporary assistance in the event appointment is scheduled far out).",,,,,,,"Help Pay for Utilities,Emergency Payments","recqJeWfuWoaymxab, recZC2bATGtKSdzXU",,rec5rpKPfnFuTY4l6,,,,,,,,,,Vetted,
Southside Food Bank,Southside Food Bank,recJXL6eox05CKK7G,,Provides food to anyone in need. Open the first and third Thursday of each month.,Southside Food Bank,rec4mD0Lfe5j6zVcc,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",1504 Larrabee Ave.,recdMgKEvRLwnQpxn,,,,,,,,recXGIfEwR4YprJB3,,Vetted,
Lynden Family Community Services,Lynden School District,recoMAIC5xcq41j9t,,Helps students and families connect with school and community resources. ,Lynden Middle School,recUYr21Dde2cHjoc,https://lynden.wednet.edu/departments/family_community_services,,(360) 354-1549,,,,516 Main St.,recAYosLzDjRyW6IA,,,,,,,,,,Vetted,
Bellingham Family Resource Centers,Bellingham Public Schools,receUTNvWcgtFzotQ,,Family support centers that link school families with local resources and human services addressing the needs of the whole child in order to promote student success. All families are welcome to visit the site nearest to them (Shuksan Middle School or Carl Cozier Elementary School).,"Shuksan Middle School,Carl Cozier Elementary School","recRUBkxEjOvC7ac0, recLXnLjGb04w060W",https://bellinghamschools.org/about/departments/family-engagement/family-support-services/family-resource-centers/,,(360) 676-6456,,"Families,Children,Community Support Services,Clothes for School,Supplies for School,Diapers & Formula,Personal Care Items,Emergency Food","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, recwQuL3cKTIDX0Ib, recwWAC5AgF1Jlfsk, rec8OllsKHnHPj5Jo, recxvjjAVP6QClaEE, rece3S4OpuUrKdj0j, recujVKMBmC0r4iq5","2717 Alderwood Ave.,1330 Lincoln St.",rec1wq5iiGhDsXfFM,,,,,,,,recKaMYkOyIOSSSBk,"Clothing,Food,Emergency Resources,Financial Assistance,Children,Education,Parenting,Schools,School Supplies,Special Needs,Hygiene Items",Vetted,
McKinney-Vento Program (BPS),Bellingham Public Schools,receUTNvWcgtFzotQ,Homeless Family Support,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Bellingham Public Schools Homeless Liaison,"Housing,Homeless,Near Homeless,Children,Families","recCKTPd4gJzUTY28, rec7wvcVfmMf7RwS7, rec2cxjnl0Pw6JmTi, recH2S9jjAnFPldly, recOs8jW9d2WJDhsu",,recKlSBx8iAwGDZ4d,,,,,,,,,"Emergency Resources,Children,Housing,Homeless Support Services",Vetted,
Promise Kindergarten,Bellingham Public Schools,receUTNvWcgtFzotQ,Promise K,"A free, full day early entrance kindergarten for children who are scheduled to enter kindergarten in the upcoming fall. The program focuses on basic academic and social skills to help qualifying students get a jump start towards success in school. Students must demonstrate financial, academic and social-emotional needs and cannot be currently enrolled in another early learning program. ",,,https://bellinghamschools.org/program/promise-kindergarten/,,(360) 676-6488,,"Children,Education","recH2S9jjAnFPldly, recOGCSUVHnuizJWp",,recc72SWxUYQEF63K,,Recruiting students and selecting school sites occurs in November/December. Screening students for eligibility occurs in January and schools sites are finalized based on enrollment.,,,,,,,"Children,Education,Schools,Readiness To Learn,Child Development",Vetted,
Child Find Preschool Screenings (BPS),Bellingham Public Schools,receUTNvWcgtFzotQ,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://bellinghamschools.org/program/child-find-screenings/,BPS.Preschool@BellinghamSchools.org,"""(360) 676-6470, ext. 4408""",,"Early Childhood Intervention,Disability Screening,Disability,Learning Disability,Understand Disability,Developmental Disability,Preschool,Children","recoILBn6aJRJVOJz, recViMSTdmNcd5RWO, recLKLYZv41O8jPT4, recnvZKSnY59H6gFG, recCxMWwGxYG6a0sF, recyhyWOEEXd1S4PP, recGS0bYbwxsgLeKd, recH2S9jjAnFPldly",,recL5Th9WSChHh0yc,,"Screenings can be completed for any child, birth to age five, whose family or caregiver would like more information about their child’s development. ",,,,,,,"Schools,Education,Children,Child Development,Special Needs,Preschool",Vetted,
Developmental Preschool (BPS),Bellingham Public Schools,receUTNvWcgtFzotQ,,"Early childhood preschool programs provide a language-based curriculum to students ages 3-4 who have been identified with developmental delays and qualify for special education services. Programs provide direct, integrated, and/or consultative services to students with mild to moderate disabilities in general education. Contact your school district to apply.",,,https://bellinghamschools.org/programs/early-childhood-education/,,(360) 676-6470 ext. 4432,,"Education,Preschool,Developmental Disability,Disability,Learning Disability,Children,Early Childhood Intervention","recOGCSUVHnuizJWp, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recLKLYZv41O8jPT4, recnvZKSnY59H6gFG, recH2S9jjAnFPldly, recoILBn6aJRJVOJz",,recHSAXGcCyLwYbEe,,,,,,,,,"Schools,Education,Children,Child Development,Preschool,Special Needs",Vetted,
Hope House,Hope House,recw4uRrvGQJMPPwC,,,Hope House,recx5oAc79QMtPF1g,,,,,"Goods,Emergency Food,Baby Supplies,Baby Clothes,Diapers & Formula,Clothing,Home Goods,Personal Care Items","recYkNaWD02ZhnpEv, recujVKMBmC0r4iq5, recgCrtvEpiRwSBgX, rec9wIK1oLefDFw5b, recxvjjAVP6QClaEE, recL3UHuwxQb3U60a, recpXP4yQXZj1q6Sr, rece3S4OpuUrKdj0j",207 Kentucky St.,recBoqqr9A4AMopso,,,,,,,,,,Vetted,
Blaine Family Service Center,Blaine School District,rec8KZuw6G3Gn2p3c,,"Strengthening families and students by helping them with basic needs and linking them to local resources. Resources include basic needs, such as food, clothing and housing; school supplies; energy assistance; GED and ELL classes; family literacy; domestic violence resources; and medicaid enrollment.
",Blaine Middle School,recq0CcgzebnuSHv1,https://www.blainesd.org/page/family-service-center,fsc@blainesd.org ,"(360) 332-0740,(360) 599-5837",,"Children,Clothes for School,Families","recH2S9jjAnFPldly, recwWAC5AgF1Jlfsk, recOs8jW9d2WJDhsu",975 H St.,recYSHMxIdyK7m1rH,,,,,,,,recQWVMWQxrrid3DG,,Vetted,
