id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,x_legacy_id,x_total_units,x_need,x_target_populations,x_age_range,x_capacity_type,x_dshs_region,x_public_view,x_option_status,x_staff_notes,x_edit_notes,x_keywords
776,159,,Play & Learn Groups,,Free organized play groups that support children’s early learning & development. Please call to confirm group dates and times.,https://www.mtbaker.wednet.edu/o/erc/page/play-and-learn-program,kmarshall@mtbaker.wednet.edu,active,,,,,,,13339,,Child Development,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
849,208,,Therapy & Evaluation Services in the Community,,"Offers physical, occupational & speech therapy services. Services are provided either in the child's home, or at Christ the King Church in Bellingham. Serves kids 0-18.",https://www.kidsinmotionclinic.org,,active,,,,,,,13237,,,,,,3,Informational,Active,,,"speech therapy, occupational therapy, OT, PT, OT/PT, physical therapy, therapy, evaluation services, evaluation, water therapy, feeding therapy"
857,212,,Recreational Activities for Children with Special Needs,,Offers community-based recreation activities for teens & adults with developmental disabilities. Please call or visit website for specific program information.,https://www.maxhigbee.org,,active,,,,,,,12953,,,,,,3,Informational,Active,,,"Recreation, sports, playgrounds, activities, parks and rec, parks and recreation, playground, playgrounds, specialized programs, special Olympics, camp, camps, summer, break, summer camp"
883,226,,Food Bank,,"A local organization that distributes free food to those in need.  Serves residents of Blaine, Custer, Birch Bay & Semihamoo.",https://www.blainefoodbank.org/,,active,,,,,,,3052,,Food,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
972,271,,Social & Recreational Activities for Children with Autism,,Offers a therapeutic recreational day camp in July & August for children and young adults with autism in Whatcom County. Please call for more detailed information.,https://www.facesnorthwest.com,,active,,,,,,,13273,,,,,,3,Informational,Active,,,"social skills, social skills training, social skills groups, autism, ASD, Autism spectrum disorder, better together, responding to autism, summer, social interaction, activities"
979,276,,Pregnant & Parenting Teen High School Program (GRADS),,"GRADS is a high school program for teen parents. The class helps you be a great parent, finish high school and helps with childcare. For more information, contact your local school district office or visit the GRADS website.",http://squalicum.bellinghamschools.org/,,active,,,,,,,7889,,,,,,3,Informational,Active,"GRADS programs provide opportunities for pregnant and parenting teens to earn high school diplomas, learn how to be great parents and prepare for careers or college. The programs also include childcare. Search for your local GRADS program below.For more information, contact your local school district office or visit the GRADS website.",,"teen, teen parents, teen pregnancy, young parent, teen parent, Pregnant & Parenting Teen High School Program (GRADS), GRADS, grads, teen mom, teen mother, teen dad, teen father, high school, highschool, student"
1108,365,,Pregnant & Parenting Teen High School Program (GRADS),,"GRADS is a high school program for teen parents. The class helps you be a great parent, finish high school and helps with childcare. For more information, contact your local school district office or visit the GRADS website.",https://sehome.bellinghamschools.org/,,active,,,,,,,13304,,,,,,3,Informational,Active,"GRADS programs provide opportunities for pregnant and parenting teens to earn high school diplomas, learn how to be great parents and prepare for careers or college. The programs also include childcare. Search for your local GRADS program below.For more information, contact your local school district office or visit the GRADS website.",,"teen, teen parents, teen pregnancy, young parent, teen parent, Pregnant & Parenting Teen High School Program (GRADS), GRADS, grads, teen mom, teen mother, teen dad, teen father, high school, highschool, student"
1118,374,,Play & Learn Groups,,"A Kaleidoscope Play & Learn Group, free for children 0-5. Please call for details and schedule.",https://www.nv.k12.wa.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=591&ViewID=047E6BE3-6D87-4130-8424-D8E4E9ED6C2A&RenderLoc=0&FlexDataID=3866&PageID=1,,active,,,,,,,14272,,,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
1218,429,,Immunization Clinics,,Provides children's immunizations and accepts Apple Health (Medicaid). Offers a sliding scale for the uninsured.,http://www.co.whatcom.wa.us/360/Health-Department,,active,,,,,,,1849,,,,,,3,Informational,Active,,,"Immunization Clinics, vaccine, vaccines, shots, shot, immunize, immunizations, vaccination, immunization clinics, mmr, varicella, chicken pox, pertussis, whooping cough, Tetanus, measles, rotavirus, flu, flu shot, influenza, vaccinations, HPV, Dtap, Tdap, Measels, polio,"
1219,429,,Nurse-Family Partnership Program (First-Time Moms),,"This program offers free support, guidance and home visiting services for first-time moms, starting before the 28th week of pregnancy. Please call for eligibility & enrollment information; serves Whatcom County.",http://www.whatcomcounty.us/1570/Nurse-Family-Partnership-NFP,,active,,,,,,,9752,,Adult Education,,,,3,Informational,Active,"This program offers free support, guidance and home visiting services for first-time moms, starting before the 28th week of pregnancy. Eligibility requirements may differ from one program site to another. Please call to learn more.",,"Nurse Family Partneship, nurse, partnership, support, visiting, guidance, moms, free, first-time moms, first time mom, first time moms, help with my kids, first-time parent, teen parent, young parent, pregnancy support, help with my pregnancy, home visiting, home visit, home visits, home visitor, public health nurse"
