*required* text,*required* text,http://some.domain.com,text,text,text,two character state (all caps),99999 or 99999-9999,"defaults to ""us"" if left blank. two character country (all caps)",physical,text,,,0
depressive and bipolar support alliance whatcom county,"peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder.  provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,800 chestnut street,suite 1c,bellingham,wa,98225,us,physical,whatcom,,,0
depressive and bipolar support alliance whatcom county,,,800 chestnut str.,suite 1c,bellingham,wa,98225,,physical,,9a1a5f22-ee70-407d-a112-1e01891871a2,street_dup|blanked,1
bellingham parks and recreation division,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,https://cob.org/services/recreation,210 lottie street,,bellingham,wa,98225,us,physical,whatcom,,,0
mount baker school district,public school district.,http://www.mtbaker.wednet.edu,4956 deming road,,deming,wa,98244,us,physical,whatcom,,,0
mount baker school district,public school district.,http://www.mtbaker.wednet.edu,4956 deming rd,,deming,wa,98244,us,physical,whatcom,9febd2f6-0a23-4a3e-979c-34add947efe9,street_dup,1
bellingham technical college,"bellingham technical college provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",https://www.btc.edu,3028 lindbergh avenue,,bellingham,wa,98225,us,physical,whatcom,,,0
bellingham school district,public school district.,http://bellinghamschools.org,1306 dupont street,,bellingham,wa,98225,us,physical,whatcom,,,0
nooksack valley school district,public school district.,https://www.nv.k12.wa.us,3326 east badger road,,everson,wa,98247,us,physical,whatcom,,,0
nooksack valley school district,public school district.,https://www.nv.k12.wa.us,3326 east badger road,,everson,wa,98247,us,physical,whatcom,bc708449-8da2-4b49-9013-a99c0dcf0e2a,street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 540,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 265,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high st,room 265,bellingham,wa,98225,us,physical,whatcom,b26da0e5-6f88-4fc0-bbd4-92640a1c6663,street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,"2nd floor, room 256",bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,188 east college way,room 453,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 280,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high str,room 280,bellingham,wa,98225,us,physical,whatcom,f042c536-2e0d-4cce-b102-23e2b9a3d27b,street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,516 high str.,,bellingham,wa,98225,us,physical,whatcom,a6fd9a0c-1b69-4251-8042-4b1a1d69c346,street_dup,1
ferndale school district,public school district.,http://www.ferndalesd.org,6041 vista drive,,ferndale,wa,98248,us,physical,whatcom,,,0
point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,323 evergreen way,,point roberts,wa,98281,us,physical,whatcom,,,0
river of life community church,river of life community church has an outward focus. from helping feed and clothe our neighbors; outreaches focused on kids; reaching our hispanic neighbors through our maple falls church.,,4037 valley highway,,deming,wa,98244,us,physical,whatcom,,,0
river of life community church,river of life community church has an outward focus. from helping feed and clothe our neighbors; outreaches focused on kids; reaching our hispanic neighbors through our maple falls church.,,4037 valley highway,,deming,wa,98244,us,physical,whatcom,ba172206-2c85-44b2-a95c-ba7eb49bfb1d,street_dup,1
saint vincent de paul - sacred heart church,a faith based organization that offers assistance to people in need.,https://www.shbham.org,1110 14th street,,bellingham,wa,98225,us,physical,whatcom,,,0
