name,desc,url,address_1,address_2,city,state,postal,country,type_row,region,duplicate_id,duplicate_type,training_set_num
*required* text,*required* text,http://some.domain.com,text,text,text,two character state (all caps),99999 or 99999-9999,"defaults to ""us"" if left blank. two character country (all caps)",physical,text,,,1
*required* text,*required* text,http://some.domain.com/,text,text,text,two character state (all caps),99999 or 99999-9999,"defauxxs tv ""us"" if left blank. two character counry (all caps)",physical,text,1,mangled_url|mangled_country,1
depressive and bipolar support alliance whatcom county,"peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder.  provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,800 chestnut street,suite 1c,bellingham,wa,98225,us,physical,whatcom,,,1
depresmive and bipolar support alliance whatcom county,"peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder.  provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,800 chestnut street,suite 1c,bellingham,wa,98225,us,physical,whatcom,3,mangled_name,1
bellingham parks and recreation division,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,https://cob.org/services/recreation,210 lottie street,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham parks and recreatondiviion,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,htups://cob.org/services/recreatioc/,,,bellingham,wa,98225,us,physical,whatcom,5,mangled_name|mangled_address_1|mangled_url,1
mount baker school district,public school district.,http://www.mtbaker.wednet.edu,4956 deming road,,deming,wa,98244,us,physical,whatcom,,,1
mount bker school district,public school district.,http://www.mtbaker.wednet.edu,,,deming,wa,98244,us,physical,whatcom,7,mangled_name|mangled_address_1,1
bellingham technical college,"bellingham technical college provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",https://www.btc.edu,3028 lindbergh avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham technical college,"bellingham technical college provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",http://www.btc.com/,,,bellingham,wa,98225,us,physical,whatwom,9,mangled_address_1|mangled_url|mangled_region,1
bellingham school district,public school district.,http://bellinghamschools.org,1306 dupont street,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham school dstrict,public school district.,bellinghamschools.org/,1306 dupont street,,bellingham,wa,98225,us,physical,whatcom,11,mangled_name|mangled_url,1
nooksack valley school district,public school district.,https://www.nv.k12.wa.us,3326 east badger road,,everson,wa,98247,us,physical,whatcom,,,1
nooksjck valley school district,public school district.,http://nv.k12.wa.us/,3326 east badger road,,everson,wa,98247,us,physical,whatcom,13,mangled_name|mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,1
western washimgton university,pubic university.,http://www.wwu.edu/,,,bellingham,wa,98225,us,physical,whatcom,15,mangled_name|mangled_address_1|mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 540,bellingham,wa,98225,us,physical,whatcom,,,1
western washington university,pubic university.,www.wwu.edu/,516 high street,room 540,bellingham,wa,98225,us,physical,whatcom,17,mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 265,bellingham,wa,98225,us,physical,whatcom,,,1
western washington university,pubic university.,http://www.wwu.com/,516 high street,room 265,bellingham,wa,98225,us,physical,whatcom,19,mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,"2nd floor, room 256",bellingham,wa,98225,us,physical,whatcom,,,1
western washington xniversity,pubic university.,http://www.wwu.com,516 high street,"2nd floor, room 256",bellingham,wa,98225,us,physical,whazcom,21,mangled_name|mangled_url|mangled_region,1
western washington university,pubic university.,http://www.wwu.edu,188 east college way,room 453,bellingham,wa,98225,us,physical,whatcom,,,1
western washington university,pubic university.,http://wwedwwu.edu,188 east college way,room 453,bellingham,wa,98225,us,physical,whatcom,23,mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 280,bellingham,wa,98225,us,physical,whatcom,,,1
westernywashington uniaersity,pubic university.,http://www.wwu.edu,,room 280,bellingham,wa,98225,us,physical,whatcom,25,mangled_name|mangled_address_1,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,1
western washingto university,pubic university.,www.wwu.edu,516 high st.,,bellingham,wa,98225,us,physical,whatcom,27,mangled_name|mangled_address_1|mangled_url,1
ferndale school district,public school district.,http://www.ferndalesd.org,6041 vista drive,,ferndale,wa,98248,us,physical,whatcom,,,1
ferndale school district,public school district.,hthp://www.ferndalesd.org,,,ferndale,wa,98248,uf,physical,whatcom,29,mangled_address_1|mangled_url|mangled_country,1
point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,323 evergreen way,,point roberts,wa,98281,us,physical,whatcom,,,1
point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harconywebdesigns.com/pointrobertschurch/annoujcements.htm/,323 evergreen way.,,point roberts,wa,98281,ul,physical,whafcom,31,mangled_address_1|mangled_url|mangled_region|mangled_country,1
river of life community church,river of life community church has an outward focus. from helping feed and clothe our neighbors; outreaches focused on kids; reaching our hispanic neighbors through our maple falls church.,,4037 valley highway,,deming,wa,98244,us,physical,whatcom,,,1
river of lpfe community church,river of life community church has an outward focus. from helping feed and clothe our neighbors; outreaches focused on kids; reaching our hispanic neighbors through our maple falls church.,,4037 valley highway,,deming,wa,98244,us,physical,whatcom,33,mangled_name,1
saint vincent de paul - sacred heart church,a faith based organization that offers assistance to people in need.,https://www.shbham.org,1110 14th street,,bellingham,wa,98225,us,physical,whatcom,,,1
saint vincent le paul - sacreu heart church,a faith based organization that offers assistance to people in need.,https://www.shbham.org,,,bellingham,wa,98225,us,physical,whatcom,35,mangled_name|mangled_address_1,1
community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,382 boblett street,,blaine,wa,98230,us,physical,whatcom,,,1
community assistance rogram,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,382 boblett street,,blaine,wa,98230,us,physical,phatcom,37,mangled_name|mangled_region,1
community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,902 adelia street,,blaine,wa,98230,us,physical,whatcom,,,1
community assistance progrcm,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.com,,,blaine,wa,98230,us,physical,whatcom,39,mangled_name|mangled_address_1|mangled_url,1
community assistance program,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://blainecap.org,508 g street,,blaine,wa,98230,us,physical,whatcom,,,1
community assistance pcorram,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",http://bpainecap.org/,508 g str,,blaine,wa,98230,us,physical,whatcom,41,mangled_name|mangled_address_1|mangled_url,1
whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,2800 douglas avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,2800 douglas avenue,,bellingham,wa,98225,us,physical,,43,mangled_region,1
whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,3001 squalicum parkway,suite 11,bellingham,wa,98225,us,physical,whatcom,,,1
whatcom hospice,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",http://whatcomhospice.org,3001 squalicum pky,suite 11,bellingham,wa,98225,us,physical,whatcom,45,mangled_address_1,1
blaine community/senior center,senior center.,https://www.blaineseniorcenter.org,763 g street,,blaine,wa,98230,us,physical,whatcom,,,1
blaine communty/senior center,senior center.,http://blaineseniorcenter.org,763 g st,,blaine,wa,98230,us,physical,whatcom,47,mangled_name|mangled_address_1|mangled_url,1
whatcom county parks and recreation department,"the goal of the parks and recreation department is to enrich the quality of life for the community and preserve the natural and cultural heritage of the county through provision of outstanding parks and trails, open space and natural areas, as well as recreational activities and senior services.",http://www.co.whatcom.wa.us/1787/parks-recreation,3373 mount baker highway,,bellingham,wa,98226,us,physical,whatcom,,,1
whatcom coentytparksoandxrecretion department,"the goal of the parks and recreation department is to enrich the quality of life for the community and preserve the natural and cultural heritage of the county through provision of outstanding parks and trails, open space and natural areas, as well as recreational activities and senior services.",http://wuw.co.whatcom.wa.us/1787/parks-recreation,,,bellingham,wa,98226,u,physical,whatcom,49,mangled_name|mangled_address_1|mangled_url|mangled_country,1
